trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,introduction.started,text.started,key_resp_2.started,introduction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,letter_grid.started,row_cue.started,letter_grid.stopped,row_cue.stopped,trial.stopped,response_routine.started,response_routine.stopped,response.keys,Cued Row,Correct Row,Participant Response,Is Correct,response.rt,response.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.0029457001946866512,0.009969200007617474,0.009969200007617474,18.466249300166965,space,18.4544154999312,None,,,,,,,,,,,,,,,,134013,001,2024-11-17_15h21.31.175,PartialReportMethod,2024.1.5,None,2024-11-17 15h21.37.689109 +0530,
0,0,0,0,18.487488700076938,,,,,,,,,18.469593700021505,18.487488700076938,18.98143190005794,18.998090000124648,19.48201659996994,19.466727700084448,19.46676370012574,24.470885700080544,None,2,KTMP,None,False,,,134013,001,2024-11-17_15h21.31.175,PartialReportMethod,2024.1.5,None,2024-11-17 15h21.37.689109 +0530,
1,0,1,0,24.580072000157088,,,,,,,,,24.472849500132725,24.580072000157088,24.971658300142735,25.088323200121522,25.471650999970734,25.45704760006629,25.457074400037527,30.461532700108364,"['j', 'm']",1,JNHE,"['j', 'm']",False,"[1.176485300064087, 1.5025028001982719]","[0.17349700001068413, 0.16798699996434152]",134013,001,2024-11-17_15h21.31.175,PartialReportMethod,2024.1.5,None,2024-11-17 15h21.37.689109 +0530,
2,0,2,0,30.477232299977913,,,,,,,,,30.464107300154865,30.477232299977913,30.97812860016711,30.97812860016711,31.478328000055626,31.46306230011396,31.463090799981728,36.4671840001829,"['a', 'q']",0,AOQT,"['a', 'q']",False,"[1.1509045001585037, 1.566263300133869]","[0.2439287998713553, 0.2442332999780774]",134013,001,2024-11-17_15h21.31.175,PartialReportMethod,2024.1.5,None,2024-11-17 15h21.37.689109 +0530,
3,0,3,0,36.48365609999746,,,,,,,,,36.469212300144136,36.48365609999746,36.96872430015355,36.98482979997061,37.46823090012185,37.45267600007355,37.45270190015435,42.45823059999384,"['w', 'a']",1,WAFY,"['w', 'a']",False,"[1.1243038999382406, 1.6266618000809103]","[0.21125140017829835, 0.25207110005430877]",134013,001,2024-11-17_15h21.31.175,PartialReportMethod,2024.1.5,None,2024-11-17 15h21.37.689109 +0530,
4,0,4,0,42.4750681000296,,,,,,,,,42.46107230009511,42.4750681000296,42.97468940005638,42.97468940005638,43.47524180007167,43.45982170011848,43.4598550000228,48.464887000154704,"['w', 'i']",0,VXIZ,"['w', 'i']",False,"[0.7111993001308292, 1.0400149000342935]","[0.21834839996881783, 0.23175749997608364]",134013,001,2024-11-17_15h21.31.175,PartialReportMethod,2024.1.5,None,2024-11-17 15h21.37.689109 +0530,
5,0,5,0,48.481050700182095,,,,,,,,,48.467787800123915,48.481050700182095,48.98157880012877,48.98157880012877,49.481711599975824,49.466114700073376,49.466149900108576,54.47075149999,"['u', 'n']",2,UNAG,"['u', 'n']",False,"[0.5833549001254141, 0.9294777999166399]","[0.187548799905926, 0.18716330011375248]",134013,001,2024-11-17_15h21.31.175,PartialReportMethod,2024.1.5,None,2024-11-17 15h21.37.689109 +0530,
6,0,6,0,54.489765600068495,,,,,,,,,54.473827900132164,54.489765600068495,54.97107420000248,55.00482700020075,55.47154780011624,55.456384600140154,55.45641570002772,60.461207000073045,"['g', 'c']",1,GGLX,"['g', 'c']",False,"[1.0076969000510871, 1.6374945999123156]","[0.21331619983538985, 0.2544621000997722]",134013,001,2024-11-17_15h21.31.175,PartialReportMethod,2024.1.5,None,2024-11-17 15h21.37.689109 +0530,
7,0,7,0,60.47701940010302,,,,,,,,,60.463283700169995,60.47701940010302,60.977829300099984,60.977829300099984,61.478536900132895,61.46280000009574,61.4628340001218,66.46716850018129,"['c', 'x']",2,CXTN,"['c', 'x']",False,"[0.7103463001549244, 1.331504800124094]","[0.22007949999533594, 0.2511257999576628]",134013,001,2024-11-17_15h21.31.175,PartialReportMethod,2024.1.5,None,2024-11-17 15h21.37.689109 +0530,
8,0,8,0,66.4835057000164,,,,,,,,,66.46999580017291,66.4835057000164,66.96799080003984,66.98553690011613,67.46869430015795,67.45356410020031,67.45360360015184,72.45872620004229,"['b', 'h']",0,BHHX,"['b', 'h']",False,"[1.211176399840042, 1.4593286998569965]","[0.12975590000860393, 0.1650058999657631]",134013,001,2024-11-17_15h21.31.175,PartialReportMethod,2024.1.5,None,2024-11-17 15h21.37.689109 +0530,
