trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,introduction.started,text.started,key_resp_2.started,introduction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,letter_grid.started,row_cue.started,letter_grid.stopped,row_cue.stopped,trial.stopped,response_routine.started,response_routine.stopped,response.keys,response.rt,response.duration,Cued Row,Correct Row,Participant Response,Is Correct,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.002446299884468317,0.014213599730283022,0.014213599730283022,35.367258799728006,space,35.275559899862856,None,,,,,,,,,,,,,,,,839174,001,2024-11-20_14h45.27.874,PartialReportMethod,2024.1.5,None,2024-11-20 14h45.33.998174 +0530,
0,0,0,0,35.38322649989277,,,,,,,,,35.36999969976023,35.38322649989277,35.87043819995597,35.88702449994162,36.37114490009844,36.35488969972357,36.354912099894136,41.36048319982365,"['s', 'h']","[0.7694080001674592, 1.0514887003228068]","[0.0873000998981297, 0.07529830001294613]",0,SHAG,"['s', 'h']",False,839174,001,2024-11-20_14h45.27.874,PartialReportMethod,2024.1.5,None,2024-11-20 14h45.33.998174 +0530,
1,0,1,0,41.44488329999149,,,,,,,,,41.363904600031674,41.44488329999149,41.876936399843544,41.96048029977828,42.37726219976321,42.3614488998428,42.36146489996463,47.36729989992455,"['u', 'y']","[0.7626012000255287, 1.3202027999795973]","[0.07321739988401532, 0.07008680002763867]",1,UYKA,"['u', 'y']",False,839174,001,2024-11-20_14h45.27.874,PartialReportMethod,2024.1.5,None,2024-11-20 14h45.33.998174 +0530,
2,0,2,0,47.38292279979214,,,,,,,,,47.36848780000582,47.38292279979214,47.86704509984702,47.8838534001261,48.36746639991179,48.35169479995966,48.35171019984409,53.35722240014002,"['t', 'p']","[0.5465001999400556, 1.0102784996852279]","[0.06866159988567233, 0.07163699995726347]",0,TVOW,"['t', 'p']",False,839174,001,2024-11-20_14h45.27.874,PartialReportMethod,2024.1.5,None,2024-11-20 14h45.33.998174 +0530,
3,0,3,0,53.37353909993544,,,,,,,,,53.358074999880046,53.37353909993544,53.87383579974994,53.87383579974994,54.37398950010538,54.35807819990441,54.358092200011015,59.363892199937254,"['k', 'm']","[0.6244371999055147, 0.7855341001413763]","[0.06276350002735853, 0.0703955995850265]",0,XKAB,"['k', 'm']",False,839174,001,2024-11-20_14h45.27.874,PartialReportMethod,2024.1.5,None,2024-11-20 14h45.33.998174 +0530,
4,0,4,0,59.37959549995139,,,,,,,,,59.3650640998967,59.37959549995139,59.883188100066036,59.883188100066036,,60.380478399805725,60.380538099911064,65.36986960005015,"['r', 'a']","[0.44043640000745654, 0.5574723999015987]","[0.07913560001179576, 0.0752286002971232]",1,RAKK,"['r', 'a']",False,839174,001,2024-11-20_14h45.27.874,PartialReportMethod,2024.1.5,None,2024-11-20 14h45.33.998174 +0530,
5,0,5,0,65.38603679975495,,,,,,,,,65.37077299971133,65.38603679975495,65.87023869995028,65.886845999863,66.37049809983,66.35478159971535,66.35479709971696,71.36007109982893,"['w', 'o']","[0.495334199629724, 0.7147695999592543]","[0.08226000005379319, 0.06564019992947578]",2,WOIB,"['w', 'o']",False,839174,001,2024-11-20_14h45.27.874,PartialReportMethod,2024.1.5,None,2024-11-20 14h45.33.998174 +0530,
6,0,6,0,71.37606579996645,,,,,,,,,71.36089150002226,71.37606579996645,71.87678449973464,71.87678449973464,72.37682389980182,72.36153859971091,72.36155520007014,77.36710180016235,"['k', 'j']","[0.46946310019120574, 0.6512291999533772]","[0.07518519973382354, 0.04941350035369396]",2,KJRV,"['k', 'j']",False,839174,001,2024-11-20_14h45.27.874,PartialReportMethod,2024.1.5,None,2024-11-20 14h45.33.998174 +0530,
7,0,7,0,77.38267059996724,,,,,,,,,77.36823699995875,77.38267059996724,77.86672940012068,77.88354229973629,78.36774699995294,78.35118060000241,78.35119460010901,83.35691369976848,"['y', 's']","[1.1644346001558006, 1.3780064000748098]","[0.06159309996291995, 0.07972359983250499]",1,YVRV,"['y', 's']",False,839174,001,2024-11-20_14h45.27.874,PartialReportMethod,2024.1.5,None,2024-11-20 14h45.33.998174 +0530,
8,0,8,0,83.37250329973176,,,,,,,,,83.35807480011135,83.37250329973176,83.8734407001175,83.8734407001175,84.37419159989804,84.35811930010095,84.35813779989257,89.36314640007913,"['z', 'j']","[1.0429219999350607, 1.9541847999207675]","[0.10650190012529492, 0.07271490013226867]",0,JDVK,"['z', 'j']",False,839174,001,2024-11-20_14h45.27.874,PartialReportMethod,2024.1.5,None,2024-11-20 14h45.33.998174 +0530,
9,0,9,0,89.37913869973272,,,,,,,,,89.36397380009294,89.37913869973272,89.87955649988726,89.87955649988726,90.3803880000487,90.36501029971987,90.36502509983256,95.36921009980142,"['l', 'i']","[0.49203870026394725, 0.7035885001532733]","[0.07893860014155507, 0.07375600002706051]",1,LIKN,"['l', 'i']",False,839174,001,2024-11-20_14h45.27.874,PartialReportMethod,2024.1.5,None,2024-11-20 14h45.33.998174 +0530,
10,0,10,0,95.38593479990959,,,,,,,,,95.37025310005993,95.38593479990959,95.86978660011664,95.88646769989282,96.37034050002694,96.35459670005366,96.35461220005527,101.35995549988002,"['u', 'o']","[0.7731920001097023, 1.2102168002165854]","[0.06946170004084706, 0.05917109968140721]",0,MKEV,"['u', 'o']",False,839174,001,2024-11-20_14h45.27.874,PartialReportMethod,2024.1.5,None,2024-11-20 14h45.33.998174 +0530,
11,0,11,0,101.37568139983341,,,,,,,,,101.36103329993784,101.37568139983341,101.87652090005577,101.87652090005577,102.37698889989406,102.36090999981388,102.36092389980331,107.36730489972979,"['p', 't']","[1.2248948998749256, 1.6380443000234663]","[0.07795430021360517, 0.07734879991039634]",0,PTKY,"['p', 't']",False,839174,001,2024-11-20_14h45.27.874,PartialReportMethod,2024.1.5,None,2024-11-20 14h45.33.998174 +0530,
12,0,12,0,107.3833077000454,,,,,,,,,107.36895320005715,107.3833077000454,107.86678249994293,107.88340889988467,108.36705800006166,108.35129200015217,108.35131999989972,113.35689219972119,"['z', 'u']","[1.368299899622798, 1.7466517998836935]","[0.0833784001879394, 0.0978779997676611]",2,QOCY,"['z', 'u']",False,839174,001,2024-11-20_14h45.27.874,PartialReportMethod,2024.1.5,None,2024-11-20 14h45.33.998174 +0530,
13,0,13,0,113.37212330009788,,,,,,,,,113.3586973999627,113.37212330009788,113.87288939999416,113.87288939999416,114.37363769998774,114.35785359982401,114.35786829981953,119.36291030002758,"['w', 'b']","[0.3148094001226127, 0.8358551999554038]","[0.09477430023252964, 0.09211070043966174]",2,WBFZ,"['w', 'b']",False,839174,001,2024-11-20_14h45.27.874,PartialReportMethod,2024.1.5,None,2024-11-20 14h45.33.998174 +0530,
14,0,14,0,119.37836770014837,,,,,,,,,119.36438959976658,119.37836770014837,119.87966809980571,119.87966809980571,120.38027259986848,120.3649705001153,120.36500019999221,125.36926280008629,['k'],[0.9596265996806324],[0.08190530026331544],2,KKNY,['k'],False,839174,001,2024-11-20_14h45.27.874,PartialReportMethod,2024.1.5,None,2024-11-20 14h45.33.998174 +0530,
15,0,15,0,125.38560449983925,,,,,,,,,125.3701673001051,125.38560449983925,125.86957489978522,125.88620910001919,126.37001700000837,126.3544823997654,126.3544970001094,131.3600534000434,"['q', 'l']","[1.312737399712205, 1.5695075001567602]","[0.08825030038133264, 0.07340679969638586]",1,QTRG,"['q', 'l']",False,839174,001,2024-11-20_14h45.27.874,PartialReportMethod,2024.1.5,None,2024-11-20 14h45.33.998174 +0530,
16,0,16,0,131.37572250002995,,,,,,,,,131.36160690011457,131.37572250002995,131.8757087001577,131.8757087001577,132.37768850009888,132.36129739973694,132.36132550006732,137.3678592001088,"['b', 'l']","[1.7556345998309553, 2.231526699848473]","[0.08148579997941852, 0.08200370008125901]",2,BJWG,"['b', 'l']",False,839174,001,2024-11-20_14h45.27.874,PartialReportMethod,2024.1.5,None,2024-11-20 14h45.33.998174 +0530,
17,0,17,0,137.38285009982064,,,,,,,,,137.36943739978597,137.38285009982064,137.8665045001544,137.88346089981496,138.36674509989098,138.35108549986035,138.35110880015418,143.35617170017213,['c'],[0.8044352000579238],[0.09521260019391775],2,PRIB,['c'],False,839174,001,2024-11-20_14h45.27.874,PartialReportMethod,2024.1.5,None,2024-11-20 14h45.33.998174 +0530,
18,0,18,0,143.37182179978117,,,,,,,,,143.35703109996393,143.37182179978117,143.87257139990106,143.87257139990106,144.37267650011927,144.35686579998583,144.3568845000118,149.36335569992661,"['k', 'k']","[0.44572999980300665, 0.6650926000438631]","[0.06944300001487136, 0.07567579997703433]",2,KKJE,"['k', 'k']",False,839174,001,2024-11-20_14h45.27.874,PartialReportMethod,2024.1.5,None,2024-11-20 14h45.33.998174 +0530,
19,0,19,0,149.37911019986495,,,,,,,,,149.36493979999796,149.37911019986495,149.87963970005512,149.87963970005512,150.380061800126,150.36402860004455,150.36404930008575,155.36865429999307,"['a', 's']","[0.6454016999341547, 0.8506613997742534]","[0.07878480013459921, 0.06977989990264177]",0,ASOB,"['a', 's']",False,839174,001,2024-11-20_14h45.27.874,PartialReportMethod,2024.1.5,None,2024-11-20 14h45.33.998174 +0530,
20,0,20,0,155.3852361999452,,,,,,,,,155.3702229000628,155.3852361999452,155.86888810014352,155.88541160011664,156.36987129971385,156.35422129975632,156.35423969989643,161.3596789999865,"['w', 'u']","[1.1517712003551424, 1.6912217000499368]","[0.06830709986388683, 0.10168230021372437]",1,KUMZ,"['w', 'u']",False,839174,001,2024-11-20_14h45.27.874,PartialReportMethod,2024.1.5,None,2024-11-20 14h45.33.998174 +0530,
