trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,introduction.started,text.started,key_resp_2.started,introduction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,letter_grid.started,row_cue.started,letter_grid.stopped,row_cue.stopped,trial.stopped,response_routine.started,response_routine.stopped,response.keys,response.rt,response.duration,Cued Row,Correct Row,Participant Response,Is Correct,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.003302699886262417,0.016834599897265434,0.016834599897265434,15.702457900159061,space,15.673352600075305,None,,,,,,,,,,,,,,,,063361,001,2024-11-20_13h51.02.591,PartialReportMethod,2024.1.5,None,2024-11-20 13h51.09.480090 +0530,
0,0,0,0,15.72371320007369,,,,,,,,,15.705669600050896,15.72371320007369,16.20213560014963,16.23524159984663,16.70207370026037,16.685528399888426,16.685556299984455,21.69248820003122,"['f', 'r']","[1.4494298002682626, 1.601532000117004]","[0.08010519994422793, 0.07913330011069775]",1,LSFM,"['f', 'r']",False,063361,001,2024-11-20_13h51.02.591,PartialReportMethod,2024.1.5,None,2024-11-20 13h51.09.480090 +0530,
1,0,1,0,21.784486500080675,,,,,,,,,21.69650570023805,21.784486500080675,22.2087183999829,22.292359500192106,22.71124739991501,22.693604100029916,22.6936309998855,27.697486999910325,['y'],[0.8624971001408994],[0.0787508999928832],1,PYQX,['y'],False,063361,001,2024-11-20_13h51.02.591,PartialReportMethod,2024.1.5,None,2024-11-20 13h51.09.480090 +0530,
2,0,2,0,27.713804599829018,,,,,,,,,27.698484799824655,27.713804599829018,28.21507180016488,28.21507180016488,28.715878900140524,28.70017490023747,28.700204700231552,33.70432720007375,"['k', 'z']","[2.2977546001784503, 2.701315099839121]","[0.08602020004764199, 0.07293250039219856]",2,BZWL,"['k', 'z']",False,063361,001,2024-11-20_13h51.02.591,PartialReportMethod,2024.1.5,None,2024-11-20 13h51.09.480090 +0530,
3,0,3,0,33.7205249001272,,,,,,,,,33.70562480017543,33.7205249001272,34.20488720014691,34.22185940016061,34.70591880008578,34.69008109997958,34.690112200099975,39.69600880006328,"['j', 'c']","[0.9145848997868598, 1.2826348999515176]","[0.08536440040916204, 0.07256380002945662]",1,JCBV,"['j', 'c']",False,063361,001,2024-11-20_13h51.02.591,PartialReportMethod,2024.1.5,None,2024-11-20 13h51.09.480090 +0530,
4,0,4,0,39.71208770014346,,,,,,,,,39.69753629993647,39.71208770014346,40.211416699923575,40.211416699923575,40.712570699863136,40.69691069982946,40.696939799934626,45.70252260006964,"['u', 'z']","[2.156766700092703, 2.7811845000833273]","[0.08035429986193776, 0.08562490018084645]",2,ZULT,"['u', 'z']",False,063361,001,2024-11-20_13h51.02.591,PartialReportMethod,2024.1.5,None,2024-11-20 13h51.09.480090 +0530,
5,0,5,0,45.717390900012106,,,,,,,,,45.7037374000065,45.717390900012106,46.218201000243425,46.218201000243425,46.718213099986315,46.70254880003631,46.702568099834025,51.707025200128555,"['i', 'z']","[0.8485898999497294, 1.175027099903673]","[0.08645839989185333, 0.09855710016563535]",2,IZDM,"['i', 'z']",False,063361,001,2024-11-20_13h51.02.591,PartialReportMethod,2024.1.5,None,2024-11-20 13h51.09.480090 +0530,
6,0,6,0,51.724221900105476,,,,,,,,,51.70968460012227,51.724221900105476,52.20820790017024,52.22510639997199,52.70823560003191,52.693224099930376,52.693259300198406,57.69830679986626,['e'],[0.7615892998874187],[0.10436340002343059],0,CPUD,['e'],False,063361,001,2024-11-20_13h51.02.591,PartialReportMethod,2024.1.5,None,2024-11-20 13h51.09.480090 +0530,
7,0,7,0,57.714672800153494,,,,,,,,,57.69948309985921,57.714672800153494,58.21482740016654,58.21482740016654,58.71546069998294,58.69976080022752,58.69978090003133,63.704252699855715,"['x', 'y']","[0.6069926000200212, 1.0579491001553833]","[0.07932869996875525, 0.07881859969347715]",2,XYDC,"['x', 'y']",False,063361,001,2024-11-20_13h51.02.591,PartialReportMethod,2024.1.5,None,2024-11-20 13h51.09.480090 +0530,
8,0,8,0,63.72116720024496,,,,,,,,,63.70545160025358,63.72116720024496,64.20463870000094,64.22156930016354,64.70489009981975,64.68953710002825,64.68956820014864,69.69475790020078,"['c', 'a']","[0.8442703997716308, 0.9606842999346554]","[0.07218969985842705, 0.07236910006031394]",1,CABB,"['c', 'a']",False,063361,001,2024-11-20_13h51.02.591,PartialReportMethod,2024.1.5,None,2024-11-20 13h51.09.480090 +0530,
9,0,9,0,69.71101190010086,,,,,,,,,69.6962036001496,69.71101190010086,70.21244020015001,70.21244020015001,70.71187609992921,70.6964735002257,70.69648770010099,75.70162500021979,['k'],[1.4781311000697315],[0.08234960027039051],0,KGKT,['k'],False,063361,001,2024-11-20_13h51.02.591,PartialReportMethod,2024.1.5,None,2024-11-20 13h51.09.480090 +0530,
10,0,10,0,75.71730310004205,,,,,,,,,75.70294649992138,75.71730310004205,76.21758620021865,76.21758620021865,76.71865240018815,76.70254199998453,76.70256729982793,81.70766190020368,"['v', 'y']","[1.6961793997325003, 2.1329597998410463]","[0.08026539999991655, 0.08096690010279417]",0,VYOD,"['v', 'y']",False,063361,001,2024-11-20_13h51.02.591,PartialReportMethod,2024.1.5,None,2024-11-20 13h51.09.480090 +0530,
11,0,11,0,81.72409659996629,,,,,,,,,81.70930249989033,81.72409659996629,82.20820639980957,82.22453280026093,82.70824640011415,82.69271109998226,82.69274119986221,87.69795660022646,['y'],[0.9283289001323283],[0.06971949990838766],0,SLXM,['y'],False,063361,001,2024-11-20_13h51.02.591,PartialReportMethod,2024.1.5,None,2024-11-20 13h51.09.480090 +0530,
12,0,12,0,87.71380170015618,,,,,,,,,87.69946510018781,87.71380170015618,88.21534699993208,88.21534699993208,,88.71471840003505,88.71474110009149,93.70413900027052,"['y', 'z']","[0.846427499782294, 1.2266901000402868]","[0.07291819993406534, 0.07875699969008565]",0,VHON,"['y', 'z']",False,063361,001,2024-11-20_13h51.02.591,PartialReportMethod,2024.1.5,None,2024-11-20 13h51.09.480090 +0530,
13,0,13,0,93.72055929992348,,,,,,,,,93.70584690012038,93.72055929992348,94.20395899983123,94.22132690018043,94.70506069995463,94.68851150013506,94.68853250006214,99.6947230999358,"['u', 'u']","[0.8516935999505222, 1.1089118998497725]","[0.07233829982578754, 0.07853429997339845]",2,UUMO,"['u', 'u']",False,063361,001,2024-11-20_13h51.02.591,PartialReportMethod,2024.1.5,None,2024-11-20 13h51.09.480090 +0530,
14,0,14,0,99.71123130014166,,,,,,,,,99.69630399998277,99.71123130014166,100.21106649981812,100.21106649981812,100.71110100019723,100.6955527998507,100.69557180022821,105.70038510020822,['u'],[1.0897518997080624],[0.07314560003578663],0,HHOP,['u'],False,063361,001,2024-11-20_13h51.02.591,PartialReportMethod,2024.1.5,None,2024-11-20 13h51.09.480090 +0530,
15,0,15,0,105.7179454001598,,,,,,,,,105.70126739982516,105.7179454001598,106.21791390003636,106.21791390003636,106.71739850006998,106.70149900019169,106.701516199857,111.70683320006356,['j'],[1.235775699838996],[0.07891289982944727],0,BGUY,['j'],False,063361,001,2024-11-20_13h51.02.591,PartialReportMethod,2024.1.5,None,2024-11-20 13h51.09.480090 +0530,
