trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,introduction.started,text.started,key_resp.started,introduction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,letter_grid.started,letter_grid.stopped,row_cue.started,trial.stopped,response_routine.started,response.started,response_routine.stopped,response.keys,response.rt,response.duration,Cued Row,Correct Row,Participant Response,Is Correct,row_cue.stopped,response.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
9,0,9,0,76.54150200006552,,,,,,,,,76.52545720012859,76.54150200006552,77.05674770008773,77.52390019991435,78.5097324999515,78.50975130009465,78.5246657000389,83.51525690010749,['e'],[0.773871700046584],[0.09534600004553795],0,AELQ,['e'],False,78.5246657000389,83.53301430004649,758368,001,2024-11-17_12h00.19.545,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 12h00.36.912350 +0530,
10,0,10,0,83.53301430004649,,,,,,,,,83.5167078000959,83.53301430004649,84.04893709998578,84.53170739999041,85.51628080010414,85.5163074999582,85.5352829999756,90.52157400012948,['o'],[0.6365779000334442],[0.0865253999363631],1,POSA,['o'],False,85.5352829999756,90.53937470004894,758368,001,2024-11-17_12h00.19.545,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 12h00.36.912350 +0530,
11,0,11,0,90.53937470004894,,,,,,,,,90.52443050011061,90.53937470004894,91.05566899990663,91.52237899997272,92.51046140003018,92.51049540005624,92.5233885999769,97.51761740003712,['x'],[0.9736601999029517],[0.07633979991078377],2,UXEZ,['x'],False,92.5233885999769,97.53232520003803,758368,001,2024-11-17_12h00.19.545,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 12h00.36.912350 +0530,
12,0,12,0,97.53232520003803,,,,,,,,,97.51929410011508,97.53232520003803,98.0465713001322,98.530342400074,99.51437320001423,99.51439979998395,99.53312789998017,104.51936120004393,['j'],[0.9016529999207705],[0.08602909999899566],2,JITY,['j'],False,99.53312789998017,104.54063519998454,758368,001,2024-11-17_12h00.19.545,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 12h00.36.912350 +0530,
13,0,13,0,104.54063519998454,,,,,,,,,104.52029670006596,104.54063519998454,105.05549790011719,105.52118919999339,106.50874540000223,106.50879419990815,106.52133379993029,111.51194090000354,['r'],[2.311128699919209],[0.10917220008559525],0,GSKX,['r'],False,106.52133379993029,111.527878300054,758368,001,2024-11-17_12h00.19.545,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 12h00.36.912350 +0530,
14,0,14,0,111.527878300054,,,,,,,,,111.51398689998314,111.527878300054,112.0301226999145,112.52898130007088,113.51689129997976,113.5169158000499,113.52954180003144,118.51986490003765,['s'],[0.4797795000486076],[0.1089590999763459],1,APIZ,['s'],False,113.52954180003144,118.53483329992741,758368,001,2024-11-17_12h00.19.545,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 12h00.36.912350 +0530,
15,0,15,0,118.53483329992741,,,,,,,,,118.52143199997954,118.53483329992741,119.03530360013247,119.52257680008188,120.52197060012259,120.52199929999188,120.54202149994671,125.52888459991664,['m'],[1.0363681998569518],[0.059690500143915415],0,KOXB,['m'],False,,,758368,001,2024-11-17_12h00.19.545,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 12h00.36.912350 +0530,
16,0,16,0,125.54227060009725,,,,,,,,,125.53112719999626,125.54227060009725,126.0444827999454,126.52900060010143,127.53176650009118,127.53178710001521,127.54477069992572,132.53370340005495,"['e', 'u']","[1.8582083999644965, 2.1432427000254393]","[0.10592000000178814, 0.08788320003077388]",2,PMBB,"['e', 'u']",False,,,758368,001,2024-11-17_12h00.19.545,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 12h00.36.912350 +0530,
17,0,17,0,132.55132229998708,,,,,,,,,132.53576639993116,132.55132229998708,133.05220049992204,133.535184700042,134.52164419996552,134.5216699000448,134.54007550003007,139.5263827999588,['r'],[0.6953664000611752],[0.08571749995462596],0,RHSM,['r'],False,134.54007550003007,,758368,001,2024-11-17_12h00.19.545,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 12h00.36.912350 +0530,
18,0,18,0,139.5412516000215,,,,,,,,,139.52981159999035,139.5412516000215,140.04183600004762,140.52763350005262,141.52990690013394,141.52992970007472,141.54323660000227,146.53445579996333,['j'],[0.573763299966231],[0.09124560002237558],2,JCIK,['j'],False,,,758368,001,2024-11-17_12h00.19.545,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 12h00.36.912350 +0530,
19,0,19,0,146.54881120007485,,,,,,,,,146.53682669997215,146.54881120007485,147.0514678999316,147.53479159995914,148.5186789999716,148.5187023000326,148.5381901001092,153.52297890000045,['v'],[1.3370864000171423],[0.12166729988530278],0,PNQO,['v'],False,148.5381901001092,,758368,001,2024-11-17_12h00.19.545,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 12h00.36.912350 +0530,
20,0,20,0,153.54095580009744,,,,,,,,,153.52452980005182,153.54095580009744,154.04018340003677,154.52600120007992,155.5100422000978,155.51006620004773,155.5271831001155,160.51566440006718,"['q', 't']","[1.4318538000807166, 1.7095115999691188]","[0.09226339985616505, 0.06631010002456605]",2,OTNH,"['q', 't']",False,155.5271831001155,160.5323892000597,758368,001,2024-11-17_12h00.19.545,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 12h00.36.912350 +0530,
21,0,21,0,160.5323892000597,,,,,,,,,160.51680510002188,160.5323892000597,161.05186180002056,161.53482370008714,162.53597970004193,162.53602020000108,162.54907059995458,167.52274699998088,"['v', 'w']","[1.3027427000924945, 1.8549311999231577]","[0.08127859979867935, 0.11099090008065104]",2,VWBR,"['v', 'w']",False,,,758368,001,2024-11-17_12h00.19.545,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 12h00.36.912350 +0530,
22,0,22,0,167.54026759997942,,,,,,,,,167.52417250000872,167.54026759997942,168.03979589999653,168.5262605000753,169.526317599928,169.52634100010619,169.54214109992608,174.53124210005626,['r'],[1.2060906998813152],[0.0798621999565512],2,ARGN,['r'],False,,,758368,001,2024-11-17_12h00.19.545,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 12h00.36.912350 +0530,
23,0,23,0,174.5486262999475,,,,,,,,,174.53277639998123,174.5486262999475,175.06272909999825,175.53120570001192,176.5211326999124,176.52115779998712,176.53335899999365,181.5214430000633,['z'],[0.7222322998568416],[0.11552829993888736],1,ZULB,['z'],False,176.53335899999365,181.53926250012591,758368,001,2024-11-17_12h00.19.545,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 12h00.36.912350 +0530,
24,0,24,0,181.53926250012591,,,,,,,,,181.52317239996046,181.53926250012591,182.0372774999123,182.52428600005805,183.52317219995894,183.5232071999926,183.54025180009194,188.52965199993923,['m'],[0.49060999997891486],[0.08275529998354614],2,NMJD,['m'],False,,,758368,001,2024-11-17_12h00.19.545,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 12h00.36.912350 +0530,
25,0,25,0,188.54657969996333,,,,,,,,,188.5322350000497,188.54657969996333,189.06260649999604,189.53103539999574,190.53073220001534,190.530758399982,190.54773640003987,195.52195110009052,['z'],[1.372347000055015],[0.08302909997291863],0,XWOI,['z'],False,,,758368,001,2024-11-17_12h00.19.545,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 12h00.36.912350 +0530,
26,0,26,0,195.53826420009136,,,,,,,,,195.52299500000663,195.53826420009136,196.03602849994786,196.5229970999062,197.52183320000768,197.5218563999515,197.5385938999243,202.52803110005334,['f'],[0.7711982000619173],[0.11943419999442995],1,JZJF,['f'],False,,,758368,001,2024-11-17_12h00.19.545,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 12h00.36.912350 +0530,
27,0,27,0,202.54506310005672,,,,,,,,,202.52913579996675,202.54506310005672,203.0602800999768,203.52945069991983,204.5151011000853,204.5151249000337,204.52922830008902,209.51920250011608,['q'],[1.2895573999267071],[0.10967619996517897],0,QNAI,['q'],False,204.52922830008902,209.53624260006472,758368,001,2024-11-17_12h00.19.545,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 12h00.36.912350 +0530,
