trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,introduction.started,text.started,key_resp.started,introduction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,letter_grid.started,letter_grid.stopped,row_cue.started,trial.stopped,response_routine.started,response.started,response_routine.stopped,response.keys,response.rt,response.duration,Cued Row,Correct Row,Participant Response,Is Correct,row_cue.stopped,response.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
63,0,63,0,454.54044990008697,,,,,,,,,454.52548309997655,454.54044990008697,455.0413122000173,455.52297220006585,456.50983639992774,456.5098665000405,456.5269595000427,461.5175789000932,['i'],[0.1993072999175638],[0.08418289991095662],2,IVCQ,['i'],False,456.5269595000427,461.5322155000176,758368,001,2024-11-17_12h00.19.545,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 12h00.36.912350 +0530,
64,0,64,0,461.5322155000176,,,,,,,,,461.51846210006624,461.5322155000176,462.03139610006474,462.5304384001065,463.5176387000829,463.5176661000587,463.53364309994504,468.5217220999766,"['l', 't']","[0.8561412000562996, 1.4957009002100676]","[0.07225650013424456, 0.07254549977369606]",2,LTXI,"['l', 't']",False,463.53364309994504,,758368,001,2024-11-17_12h00.19.545,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 12h00.36.912350 +0530,
65,0,65,0,468.53894930006936,,,,,,,,,468.5233913999982,468.53894930006936,469.03940290003084,469.5214050000068,470.50700689991936,470.5070327001158,470.5238970001228,475.51660570013337,"['l', 'u']","[2.048083599889651, 2.4552797998767346]","[0.10387050011195242, 0.08890650002285838]",0,YYWW,"['l', 'u']",False,470.5238970001228,475.528345100116,758368,001,2024-11-17_12h00.19.545,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 12h00.36.912350 +0530,
66,0,66,0,475.528345100116,,,,,,,,,475.5180039999541,475.528345100116,476.0300620000344,476.5304652999621,477.51537699997425,477.51540130004287,477.5331965999212,482.5233342999127,['d'],[1.6488665000069886],[0.08027000003494322],1,GDWQ,['d'],False,477.5331965999212,,758368,001,2024-11-17_12h00.19.545,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 12h00.36.912350 +0530,
67,0,67,0,482.5365909000393,,,,,,,,,482.5246634001378,482.5365909000393,483.0357133001089,483.5204002999235,484.50754399993457,484.5075721000321,484.52359080011956,489.51169380010106,['q'],[1.390783900162205],[0.08601709990762174],1,MQZF,['q'],False,484.52359080011956,489.5271352001,758368,001,2024-11-17_12h00.19.545,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 12h00.36.912350 +0530,
68,0,68,0,489.5271352001,,,,,,,,,489.51392840011977,489.5271352001,490.0287244999781,490.52759180008434,491.513694900088,491.51372299995273,491.53167970012873,496.52123249997385,['i'],[0.8970260999631137],[0.1235366000328213],2,JWXI,['i'],False,491.53167970012873,496.5346214999445,758368,001,2024-11-17_12h00.19.545,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 12h00.36.912350 +0530,
69,0,69,0,496.5346214999445,,,,,,,,,496.5228991000913,496.5346214999445,497.03478260012344,497.5206351999659,498.5223346001003,498.5223588999361,498.5365814000834,503.5249363000039,['a'],[0.5040668998844922],[0.09615320013836026],0,ZGLH,['a'],False,,,758368,001,2024-11-17_12h00.19.545,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 12h00.36.912350 +0530,
70,0,70,0,503.5430572000332,,,,,,,,,503.5271948000882,503.5430572000332,504.0457947999239,504.5283484000247,505.5281777000055,505.5282032000832,505.54528680001386,510.53417090000585,['g'],[0.22531420015729964],[0.08514750003814697],1,MGVU,['g'],False,,,758368,001,2024-11-17_12h00.19.545,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 12h00.36.912350 +0530,
71,0,71,0,510.5514565000776,,,,,,,,,510.53627929999493,510.5514565000776,511.0682328999974,511.53551320009865,512.5213347999379,512.5213591000065,512.5381881999783,517.5264916000888,['v'],[1.1047622000332922],[0.0922465999610722],2,OCNT,['v'],False,,,758368,001,2024-11-17_12h00.19.545,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 12h00.36.912350 +0530,
72,0,72,0,517.5424089001026,,,,,,,,,517.5282678999938,517.5424089001026,518.0433855000883,518.5262142999563,519.5122732000891,519.5123062999919,519.5259388999548,524.5202039999422,"['a', 'h']","[0.5528392000123858, 0.8550305000972003]","[0.1345887000206858, 0.10030539985746145]",2,AHBV,"['a', 'h']",False,519.5259388999548,524.5322783999145,758368,001,2024-11-17_12h00.19.545,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 12h00.36.912350 +0530,
73,0,73,0,524.5322783999145,,,,,,,,,524.5215725000016,524.5322783999145,525.032012199983,525.5346606001258,526.5219477000646,526.5219686001074,526.5349308000877,531.5228889000136,['u'],[0.21325309993699193],[0.09070070018060505],0,LOQM,['u'],False,526.5349308000877,,758368,001,2024-11-17_12h00.19.545,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 12h00.36.912350 +0530,
74,0,74,0,531.5429438999854,,,,,,,,,531.5241537999827,531.5429438999854,532.0566853000782,532.5253399999347,533.5090755999554,533.5090991000179,533.5248567999806,538.5151716999244,"['s', 'k']","[0.3184090000577271, 1.1728234000038356]","[0.17434819997288287, 0.22095629991963506]",0,XHNS,"['s', 'k']",False,533.5248567999806,538.5310235000215,758368,001,2024-11-17_12h00.19.545,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 12h00.36.912350 +0530,
75,0,75,0,538.5310235000215,,,,,,,,,538.5167650000658,538.5310235000215,539.0310502001084,539.5333815999329,540.5205506000202,540.5205785001162,540.5323300000746,545.5235522000585,"['e', 'h']","[0.5879420000128448, 1.2973692000377923]","[0.0853534999769181, 0.08970659994520247]",2,TCQV,"['e', 'h']",False,540.5323300000746,,758368,001,2024-11-17_12h00.19.545,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 12h00.36.912350 +0530,
76,0,76,0,545.5409625999164,,,,,,,,,545.5249397000298,545.5409625999164,546.0567048999947,546.5241167999338,547.5111030999105,547.5111322000157,547.5232524999883,552.5139296001289,"['i', 'b']","[0.4752583000808954, 0.9045577000360936]","[0.09628229984082282, 0.08260229998268187]",0,FBFY,"['i', 'b']",False,547.5232524999883,552.5304215999786,758368,001,2024-11-17_12h00.19.545,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 12h00.36.912350 +0530,
77,0,77,0,552.5304215999786,,,,,,,,,552.5153948999941,552.5304215999786,553.0304604999255,553.531419100007,554.5149842000101,554.5150037999265,554.5311960000545,559.5210396000184,['z'],[1.089849199866876],[0.11481730011291802],0,GZGV,['z'],False,554.5311960000545,559.5382125000469,758368,001,2024-11-17_12h00.19.545,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 12h00.36.912350 +0530,
78,0,78,0,559.5382125000469,,,,,,,,,559.522737500025,559.5382125000469,560.0372977999505,560.5212598999497,561.5060513999779,561.506067499984,561.5232265000232,566.5131429999601,"['e', 't']","[0.5214877999387681, 0.9378182999789715]","[0.08588969986885786, 0.06116179982200265]",2,LCBG,"['e', 't']",False,561.5232265000232,566.5322942000348,758368,001,2024-11-17_12h00.19.545,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 12h00.36.912350 +0530,
79,0,79,0,566.5322942000348,,,,,,,,,566.5158931000624,566.5322942000348,567.0448775999248,567.5303070000373,568.5159118000884,568.5159471000079,568.5298584999982,573.5214239000343,['j'],[1.1077095998916775],[0.11290660011582077],2,JVUK,['j'],False,568.5298584999982,573.5364548000507,758368,001,2024-11-17_12h00.19.545,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 12h00.36.912350 +0530,
80,0,80,0,573.5364548000507,,,,,,,,,573.5227133999579,573.5364548000507,574.0373476000968,574.5225591000635,575.5223064001184,575.522332200082,575.5380130999256,580.5286590000615,"['u', 'n']","[0.32342539983801544, 1.242110899882391]","[0.09491260000504553, 0.0494206000585109]",1,QZAC,"['u', 'n']",False,,,758368,001,2024-11-17_12h00.19.545,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 12h00.36.912350 +0530,
81,0,81,0,580.5458212001249,,,,,,,,,580.5302415001206,580.5458212001249,581.0453149999958,581.5288827000186,582.5162500999868,582.5162850001361,582.531641199952,587.5203287999611,['a'],[0.6330405999906361],[0.10255680000409484],0,SOOD,['a'],False,582.531641199952,587.5348980000708,758368,001,2024-11-17_12h00.19.545,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 12h00.36.912350 +0530,
82,0,82,0,587.5348980000708,,,,,,,,,587.5216779001057,587.5348980000708,588.037717500003,588.5195124000311,589.5074144001119,589.507444600109,589.5218033001292,594.5112757000607,['g'],[0.7609701999463141],[0.07413620012812316],1,HKPX,['g'],False,589.5218033001292,594.5273804999888,758368,001,2024-11-17_12h00.19.545,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 12h00.36.912350 +0530,
83,0,83,0,594.5273804999888,,,,,,,,,594.5121092000045,594.5273804999888,595.0269122999161,595.527946199989,596.5128145001363,596.5128309000283,596.5289058999624,601.5189839000814,['x'],[0.2598287998698652],[0.11437220009975135],1,QKJL,['x'],False,596.5289058999624,601.5366561999545,758368,001,2024-11-17_12h00.19.545,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 12h00.36.912350 +0530,
84,0,84,0,601.5366561999545,,,,,,,,,601.5204781999346,601.5366561999545,602.0339963000733,602.516859699972,603.5038227001205,603.5038562000263,603.5363924999256,608.5268351000268,['a'],[1.0563540000002831],[0.09609350003302097],0,JYKY,['a'],False,603.5212993000168,,758368,001,2024-11-17_12h00.19.545,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 12h00.36.912350 +0530,
85,0,85,0,608.5425362000242,,,,,,,,,608.5286213001236,608.5425362000242,609.0427542999387,609.525152000133,610.5115149000194,610.5115308999084,610.5278731000144,615.5180921000428,"['n', 'i']","[0.33012089994736016, 0.590055099921301]","[0.08429679996334016, 0.09583529992960393]",2,NTVM,"['n', 'i']",False,610.5278731000144,615.5334970001131,758368,001,2024-11-17_12h00.19.545,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 12h00.36.912350 +0530,
86,0,86,0,615.5334970001131,,,,,,,,,615.5198236999568,615.5334970001131,616.0338336999994,616.5365915000439,617.5351414999459,617.5351672000252,617.552050499944,622.5250999000855,"['q', 'a']","[1.4757111000362784, 1.704823900014162]","[0.08165619987994432, 0.08092260011471808]",2,QANO,"['q', 'a']",False,,,758368,001,2024-11-17_12h00.19.545,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 12h00.36.912350 +0530,
87,0,87,0,622.5421360000037,,,,,,,,,622.5267739000265,622.5421360000037,623.0407179000322,623.5236454000697,624.5114945999812,624.5115360000636,624.5288128999528,629.51988789998,"['v', 'v']","[0.5431804999243468, 0.8342160999309272]","[0.10619660001248121, 0.09383050003089011]",2,HVVT,"['v', 'v']",False,624.5288128999528,629.5320727000944,758368,001,2024-11-17_12h00.19.545,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 12h00.36.912350 +0530,
88,0,88,0,629.5320727000944,,,,,,,,,629.5217909999192,629.5320727000944,630.0316675000358,630.5347764000762,631.518778800033,631.518803199986,631.5349465000909,636.5244674000423,"['r', 'h']","[1.1422232000622898, 1.592921799980104]","[0.09372189990244806, 0.08186809998005629]",2,RHWP,"['r', 'h']",False,631.5349465000909,,758368,001,2024-11-17_12h00.19.545,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 12h00.36.912350 +0530,
89,0,89,0,636.5393403000198,,,,,,,,,636.5259173999075,636.5393403000198,637.0420057000592,637.5224427999929,638.5105024001095,638.5105375000276,638.5255207999144,643.5157624001149,"['h', 'g']","[0.6000033000018448, 0.8843503000680357]","[0.09581600013189018, 0.08390769991092384]",1,HGAV,"['h', 'g']",False,638.5255207999144,643.53201490012,758368,001,2024-11-17_12h00.19.545,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 12h00.36.912350 +0530,
90,0,90,0,643.53201490012,,,,,,,,,643.5178054000717,643.53201490012,644.0323779999744,644.5332031999715,645.5202866999898,645.5203343001194,645.535882400116,650.5246075999457,['e'],[1.6847594999708235],[0.07878470001742244],0,WYMU,['e'],False,645.535882400116,,758368,001,2024-11-17_12h00.19.545,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 12h00.36.912350 +0530,
91,0,91,0,650.5401735999621,,,,,,,,,650.5259964000434,650.5401735999621,651.0384840001352,651.5237070999574,652.5093821000773,652.5094097000547,652.5258369999938,657.5166134999599,"['j', 'e']","[0.6657585001084954, 1.269182300195098]","[0.07929000002332032, 0.08352599991485476]",0,JELO,"['j', 'e']",False,652.5258369999938,657.5289537999779,758368,001,2024-11-17_12h00.19.545,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 12h00.36.912350 +0530,
92,0,92,0,657.5289537999779,,,,,,,,,657.518058600137,657.5289537999779,658.0324937000405,658.530038200086,659.5168308001012,659.5168590000831,659.53185759997,664.5236359999981,"['b', 'i']","[0.45147160021588206, 0.9378161001950502]","[0.07264679996296763, 0.08847359986975789]",0,MIJF,"['b', 'i']",False,659.53185759997,,758368,001,2024-11-17_12h00.19.545,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 12h00.36.912350 +0530,
93,0,93,0,664.5367527999915,,,,,,,,,664.5245561001357,664.5367527999915,665.0384100999217,665.5222136999946,666.506934300065,666.5069611999206,666.5233281999826,671.5141217999626,"['h', 'e']","[0.38453479995951056, 0.8042542999610305]","[0.09115650015883148, 0.0817339001223445]",1,JNWS,"['h', 'e']",False,666.5233281999826,671.528084800113,758368,001,2024-11-17_12h00.19.545,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 12h00.36.912350 +0530,
94,0,94,0,671.528084800113,,,,,,,,,671.5152569001075,671.528084800113,672.0297407000326,672.5288887000643,673.5152129000053,673.5152370999567,673.5329712999519,678.521199400071,None,,,1,KEFL,None,False,673.5329712999519,,758368,001,2024-11-17_12h00.19.545,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 12h00.36.912350 +0530,
95,0,95,0,678.5361659999471,,,,,,,,,678.5226461000275,678.5361659999471,679.0403489000164,679.5218577999622,680.5062295999378,680.5062573000323,680.5242361999117,685.5125035000965,"['t', 'k']","[0.09365699999034405, 1.475455000065267]","[0.08814820018596947, 0.08894650009460747]",1,TKKJ,"['t', 'k']",False,680.5242361999117,685.5263835000806,758368,001,2024-11-17_12h00.19.545,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 12h00.36.912350 +0530,
96,0,96,0,685.5263835000806,,,,,,,,,685.5146266999654,685.5263835000806,686.0283033999149,686.5278835000936,687.5138298999518,687.5138550999109,687.531491599977,692.5188506001141,['k'],[0.7077043999452144],[0.10917309997603297],0,KUQW,['k'],False,687.531491599977,692.5344551999588,758368,001,2024-11-17_12h00.19.545,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 12h00.36.912350 +0530,
97,0,97,0,692.5344551999588,,,,,,,,,692.5212793000974,692.5344551999588,693.0356743000448,693.5345101999119,694.523726799991,694.5237575999927,694.5362191000022,699.5241105000023,"['x', 'y']","[1.7393333001527935, 2.2859078000765294]","[0.07591549982316792, 0.05636789998970926]",1,XYHB,"['x', 'y']",False,,,758368,001,2024-11-17_12h00.19.545,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 12h00.36.912350 +0530,
98,0,98,0,699.5428448999301,,,,,,,,,699.5253413999453,699.5428448999301,700.0421066000126,700.5275195001159,701.5116693000309,701.5116983000189,701.5308650000952,706.5202019000426,['g'],[0.25356250000186265],[0.0660937000066042],0,GKKF,['g'],False,701.5308650000952,706.532172499923,758368,001,2024-11-17_12h00.19.545,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 12h00.36.912350 +0530,
99,0,99,0,706.532172499923,,,,,,,,,706.521137499949,706.532172499923,707.0350234999787,707.5337358000688,708.5195851000026,708.5196108999662,708.5358442000579,713.5247704999056,['x'],[0.7789009001571685],[0.11834559985436499],2,HHHG,['x'],False,708.5358442000579,,758368,001,2024-11-17_12h00.19.545,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 12h00.36.912350 +0530,
