trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,introduction.started,text.started,key_resp.started,introduction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,letter_grid.started,letter_grid.stopped,row_cue.started,row_cue.stopped,trial.stopped,response_routine.started,response.started,response.stopped,response_routine.stopped,response.keys,Cued Row,Correct Row,Participant Response,Is Correct,response.rt,response.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
9,0,9,0,77.91072109993547,,,,,,,,,77.89607100002468,77.91072109993547,78.41147839999758,78.89553189999424,79.89701780001633,79.88078809995204,79.88082790002227,79.89701780001633,84.90193920000456,84.88602879992686,"['h', 'e']",2,HETD,"['h', 'e']",False,"[0.084850599989295, 0.37669580010697246]","[0.23332580015994608, 0.24316779989749193]",981265,001,2024-11-17_23h27.52.686,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 23h27.59.487025 +0530,
10,0,10,0,84.90193920000456,,,,,,,,,84.88696949998848,84.90193920000456,85.4026907000225,85.9031141998712,86.90400999994017,86.88845109986141,86.8884922999423,86.90400999994017,,91.89288439997472,"['y', 's']",1,KSZS,"['y', 's']",False,"[0.24502219981513917, 0.5556737999431789]","[0.23875830019824207, 0.28986599994823337]",981265,001,2024-11-17_23h27.52.686,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 23h27.59.487025 +0530,
11,0,11,0,91.90945169981569,,,,,,,,,91.8944426998496,91.90945169981569,92.41028800001368,92.89480250002816,93.89552699984051,93.87972239986993,93.87974799983203,93.89552699984051,98.90033899992704,98.88464169995859,"['k', 'j']",2,KJHL,"['k', 'j']",False,"[0.41149760014377534, 0.931938000023365]","[0.22210350004024804, 0.20996380015276372]",981265,001,2024-11-17_23h27.52.686,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 23h27.59.487025 +0530,
12,0,12,0,98.90033899992704,,,,,,,,,98.88564569992013,98.90033899992704,99.40121779986657,99.90164930000901,100.90286719985306,100.8872529999353,100.88727099983953,100.90286719985306,,105.89186019985937,"['r', 'e']",0,FRET,"['r', 'e']",False,"[1.4218037000391632, 1.8187619000673294]","[0.2874332999344915, 0.2509706998243928]",981265,001,2024-11-17_23h27.52.686,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 23h27.59.487025 +0530,
13,0,13,0,105.90842409990728,,,,,,,,,105.89325349987485,105.90842409990728,106.40885240002535,106.89326779986732,107.89426229987293,107.87874999991618,107.87876429990865,107.89426229987293,112.8995786998421,112.8836095998995,"['j', 'a']",2,CXLN,"['j', 'a']",False,"[1.3191492999903858, 1.536703399848193]","[0.20870279986411333, 0.26733890012837946]",981265,001,2024-11-17_23h27.52.686,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 23h27.59.487025 +0530,
14,0,14,0,112.8995786998421,,,,,,,,,112.88452690001577,112.8995786998421,113.40020139981061,113.90035799983889,114.90151109988801,114.88611999992281,114.88617129996419,114.90151109988801,,119.8904448999092,"['t', 'i']",0,GXHR,"['t', 'i']",False,"[1.097548200050369, 1.3908289999235421]","[0.2863107000011951, 0.1756067001260817]",981265,001,2024-11-17_23h27.52.686,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 23h27.59.487025 +0530,
15,0,15,0,119.90771199995652,,,,,,,,,119.89164709998295,119.90771199995652,120.4075901999604,120.89189119986258,121.89292669994757,121.87661479995586,121.87663059984334,121.89292669994757,126.89799189986661,126.88194260001183,"['i', 'q']",2,VYHM,"['i', 'q']",False,"[0.9051976001355797, 1.2237110000569373]","[0.30436949990689754, 0.33846269990317523]",981265,001,2024-11-17_23h27.52.686,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 23h27.59.487025 +0530,
16,0,16,0,126.89799189986661,,,,,,,,,126.88306309981272,126.89799189986661,127.39897729991935,127.89905010000803,128.90033899992704,128.88428529980592,128.88430379983038,128.90033899992704,133.90618859999813,133.88956829998642,"['i', 'q']",1,LQUX,"['i', 'q']",False,"[0.27828049985691905, 0.8446133998222649]","[0.26935359998606145, 0.3028783001936972]",981265,001,2024-11-17_23h27.52.686,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 23h27.59.487025 +0530,
17,0,17,0,133.90618859999813,,,,,,,,,133.89186730002984,133.90618859999813,134.40640849992633,134.89085359987803,135.89190759998746,135.87585419998504,135.87586809997447,135.89190759998746,140.8970555998385,140.88103919988498,['w'],1,SWIR,['w'],False,[0.505505200009793],[0.2568518000189215],981265,001,2024-11-17_23h27.52.686,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 23h27.59.487025 +0530,
18,0,18,0,140.8970555998385,,,,,,,,,140.88191689993255,140.8970555998385,141.39737010002136,141.8979411998298,142.8989375999663,142.88343629986048,142.88345299987122,142.8989375999663,147.9044861998409,147.88935029995628,"['o', 'h']",2,OHBP,"['o', 'h']",False,"[0.2078420000616461, 0.532819899963215]","[0.2656121999025345, 0.19747680006548762]",981265,001,2024-11-17_23h27.52.686,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 23h27.59.487025 +0530,
19,0,19,0,147.9044861998409,,,,,,,,,147.89308690000325,147.9044861998409,148.40537559986115,148.88921249983832,149.89015039987862,149.87415829999372,149.87417609989643,149.89015039987862,154.89548269985244,154.88011020002887,"['n', 'u']",1,NUKH,"['n', 'u']",False,"[0.2622630000114441, 0.6721979998983443]","[0.223326199920848, 0.20317550003528595]",981265,001,2024-11-17_23h27.52.686,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 23h27.59.487025 +0530,
20,0,20,0,154.89548269985244,,,,,,,,,154.88156190002337,154.89548269985244,155.39640849991702,155.89711529994383,156.897692799801,156.88204970001243,156.8820666000247,156.897692799801,161.9031607999932,161.88732580002397,"['t', 'i']",2,WRWM,"['t', 'i']",False,"[0.9873420998919755, 1.4976907998789102]","[0.33256580005399883, 0.25314270006492734]",981265,001,2024-11-17_23h27.52.686,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 23h27.59.487025 +0530,
21,0,21,0,161.9031607999932,,,,,,,,,161.8881939998828,161.9031607999932,162.40456269984134,162.90421279985458,,163.88966390001588,163.88968999986537,163.90603179996833,,168.89493579999544,"['n', 's']",0,NSZU,"['n', 's']",False,"[0.18982780002988875, 0.44154759985394776]","[0.25285029993392527, 0.29949160013347864]",981265,001,2024-11-17_23h27.52.686,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 23h27.59.487025 +0530,
22,0,22,0,168.91125010000542,,,,,,,,,168.89611249999143,168.91125010000542,169.41155509999953,169.89565339987166,170.89655449986458,170.88065809989348,170.8806739000138,170.89655449986458,175.9018929998856,175.8862953998614,"['e', 'u']",0,MWBC,"['e', 'u']",False,"[0.9992043999955058, 1.4044833998195827]","[0.29956209985539317, 0.23539220006205142]",981265,001,2024-11-17_23h27.52.686,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 23h27.59.487025 +0530,
23,0,23,0,175.9018929998856,,,,,,,,,175.88718239986338,175.9018929998856,176.4028197999578,176.90315069979988,177.9043500998523,177.8881353000179,177.88815089990385,177.9043500998523,,182.89310580003075,"['w', 'o']",1,WOHD,"['w', 'o']",False,"[0.3487209000159055, 0.6676782998256385]","[0.2672286999877542, 0.2559102000668645]",981265,001,2024-11-17_23h27.52.686,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 23h27.59.487025 +0530,
24,0,24,0,182.90967540000565,,,,,,,,,182.89403919992037,182.90967540000565,183.41067030001432,183.89434509980492,184.8952418998815,184.87939050002024,184.87941039982252,184.8952418998815,189.90248309983872,189.88473499985412,"['e', 'c']",0,ECEP,"['e', 'c']",False,"[0.7864004999864846, 1.6727448999881744]","[0.2367765000090003, 0.2952705998905003]",981265,001,2024-11-17_23h27.52.686,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 23h27.59.487025 +0530,
25,0,25,0,189.90248309983872,,,,,,,,,189.8863794999197,189.90248309983872,190.40138749987818,190.9020417998545,191.90330629982054,191.88703139987774,191.88704719999805,191.90330629982054,,196.89242199994624,['h'],1,UHAO,['h'],False,[0.28119270014576614],[0.21686060004867613],981265,001,2024-11-17_23h27.52.686,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 23h27.59.487025 +0530,
26,0,26,0,196.90917030000128,,,,,,,,,196.89344289992005,196.90917030000128,197.4094612998888,197.89366359985434,198.89407959999517,198.87871969980188,198.8787361998111,198.89407959999517,203.89996019983664,203.88381149992347,"['p', 'r']",2,FGFU,"['p', 'r']",False,"[0.4599017999134958, 0.7601781999692321]","[0.28901649988256395, 0.2812810998875648]",981265,001,2024-11-17_23h27.52.686,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 23h27.59.487025 +0530,
27,0,27,0,203.89996019983664,,,,,,,,,203.88462239992805,203.89996019983664,204.40042329998687,204.90137570002116,205.90182639984414,205.88583009992726,205.88584509980865,205.90182639984414,,210.8909819999244,"['q', 'y']",1,QYLC,"['q', 'y']",False,"[0.4709366001188755, 0.9997801000718027]","[0.27251269994303584, 0.2330858998466283]",981265,001,2024-11-17_23h27.52.686,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 23h27.59.487025 +0530,
28,0,28,0,210.9074366998393,,,,,,,,,210.89268269995227,210.9074366998393,211.40791239985265,211.89185529993847,212.89305269997567,212.87734270002693,212.87736469996162,212.89305269997567,217.89833589992486,217.88262189994566,"['o', 'q']",2,OQQW,"['o', 'q']",False,"[0.20910720014944673, 0.9084739000536501]","[0.2396677997894585, 0.21671850001439452]",981265,001,2024-11-17_23h27.52.686,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 23h27.59.487025 +0530,
29,0,29,0,217.89833589992486,,,,,,,,,217.88348530000076,217.89833589992486,218.3990354000125,218.89964109985158,219.90105919982307,219.88584230002016,219.88586079981178,219.90105919982307,,224.88974619982764,"['l', 'm', 'u']",1,UTUM,"['l', 'm', 'u']",False,"[1.8047462000977248, 2.08874769997783, 3.10581440012902]","[0.19723189994692802, 0.3273037001490593, 0.25468749995343387]",981265,001,2024-11-17_23h27.52.686,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 23h27.59.487025 +0530,
30,0,30,0,224.90610729996115,,,,,,,,,224.89094799989834,224.90610729996115,225.40654649981298,225.89050969993696,226.89196299994364,226.8759027000051,226.8759227998089,226.89196299994364,231.8968625999987,231.8812039999757,"['x', 'o']",1,XOKJ,"['x', 'o']",False,"[0.7662152999546379, 1.629856999963522]","[0.289424299960956, 0.1905710999853909]",981265,001,2024-11-17_23h27.52.686,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 23h27.59.487025 +0530,
31,0,31,0,231.8968625999987,,,,,,,,,231.88237719982862,231.8968625999987,232.3972136999946,232.89826129982248,233.89900269987993,233.88346959999762,233.88348810002208,233.89900269987993,238.9049257999286,238.88960929983296,"['r', 'q']",2,ASYO,"['r', 'q']",False,"[0.24938659998588264, 0.7604830998461694]","[0.34733120002783835, 0.3616427001543343]",981265,001,2024-11-17_23h27.52.686,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 23h27.59.487025 +0530,
32,0,32,0,238.9049257999286,,,,,,,,,238.89042609999888,238.9049257999286,239.40542209986597,239.88934929994866,240.89063809998333,240.87448609992862,240.8745013999287,240.89063809998333,245.8960152999498,245.8793426998891,"['a', 'q']",0,DKOK,"['a', 'q']",False,"[0.1090485998429358, 0.9252920998260379]","[0.29299530014395714, 0.26049680006690323]",981265,001,2024-11-17_23h27.52.686,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 23h27.59.487025 +0530,
33,0,33,0,245.8960152999498,,,,,,,,,245.88018530001864,245.8960152999498,246.3959549998399,246.8963471997995,247.8977171999868,247.88246389990672,247.88248069980182,247.8977171999868,252.90301399980672,252.88701119995676,"['h', 'n']",2,VNHR,"['h', 'n']",False,"[1.428471599938348, 2.113270499976352]","[0.235947199864313, 0.23089799983426929]",981265,001,2024-11-17_23h27.52.686,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 23h27.59.487025 +0530,
34,0,34,0,252.90301399980672,,,,,,,,,252.88785199983977,252.90301399980672,253.40372589998879,253.90433369996026,254.9056776999496,254.88983929995447,254.88987079984508,254.9056776999496,,259.894344399916,"['d', 'x']",0,DXUU,"['d', 'x']",False,"[0.8650863999500871, 1.3504043999128044]","[0.22031860006973147, 0.31651660008355975]",981265,001,2024-11-17_23h27.52.686,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 23h27.59.487025 +0530,
35,0,35,0,259.9109429998789,,,,,,,,,259.8953201000113,259.9109429998789,260.41134769981727,260.89559759991243,261.8966475999914,261.8806129998993,261.8806435998995,261.8966475999914,266.90266859997064,266.8857580998447,"['q', 'j']",1,QJOG,"['q', 'j']",False,"[0.30576639994978905, 0.7825541999191046]","[0.24933789996430278, 0.16168990009464324]",981265,001,2024-11-17_23h27.52.686,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 23h27.59.487025 +0530,
36,0,36,0,266.90266859997064,,,,,,,,,266.8865920000244,266.90266859997064,267.40235839993693,267.9031183999032,268.9041167998221,268.88808589987457,268.88810459990054,268.9041167998221,,273.8933591998648,"['a', 'x']",1,QYBP,"['a', 'x']",False,"[1.0597232000436634, 2.1655274000950158]","[0.4356841000262648, 0.28750550001859665]",981265,001,2024-11-17_23h27.52.686,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 23h27.59.487025 +0530,
37,0,37,0,273.90952739981003,,,,,,,,,273.89436499984004,273.90952739981003,274.41009039990604,274.8941762999166,275.8954967998434,275.8791000000201,275.8791180998087,275.8954967998434,280.9011664998252,280.88542209984735,['d'],1,LEWU,['d'],False,[0.15850079990923405],[0.2336997000966221],981265,001,2024-11-17_23h27.52.686,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 23h27.59.487025 +0530,
38,0,38,0,280.9011664998252,,,,,,,,,280.8862441999372,280.9011664998252,281.4016672000289,281.90284829982556,282.9031707998365,282.88795250002295,282.8879680999089,282.9031707998365,,287.8923700999003,"['r', 'n']",0,RNJD,"['r', 'n']",False,"[0.4651276001241058, 0.7068418001290411]","[0.26412229984998703, 0.19738669996149838]",981265,001,2024-11-17_23h27.52.686,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 23h27.59.487025 +0530,
39,0,39,0,287.9088581998367,,,,,,,,,287.8934241000097,287.9088581998367,288.4101706999354,288.893138299929,289.8947079000063,289.8785920999944,289.8786068998743,289.8947079000063,294.9000295000151,294.88452129997313,None,0,QMIZ,None,False,,,981265,001,2024-11-17_23h27.52.686,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 23h27.59.487025 +0530,
40,0,40,0,294.9000295000151,,,,,,,,,294.88511739997193,294.9000295000151,295.40059999981895,295.90105489990674,296.9023721998092,296.88614839990623,296.8861644999124,296.9023721998092,,301.89108169986866,"['w', 'a']",0,WAFM,"['w', 'a']",False,"[0.858770800055936, 1.4498149000573903]","[0.21338730002753437, 0.3379013000521809]",981265,001,2024-11-17_23h27.52.686,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 23h27.59.487025 +0530,
41,0,41,0,301.9079114999622,,,,,,,,,301.8921809999738,301.9079114999622,302.40828189998865,302.8919653999619,303.89308329997584,303.8777923998423,303.8778083999641,303.89308329997584,308.8984777999576,308.88269509980455,"['l', 'q']",0,LQZV,"['l', 'q']",False,"[0.427507100161165, 0.7927421999629587]","[0.5370236998423934, 0.2570137002039701]",981265,001,2024-11-17_23h27.52.686,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 23h27.59.487025 +0530,
42,0,42,0,308.8984777999576,,,,,,,,,308.8835338000208,308.8984777999576,309.3991441000253,309.90003909985535,310.9008463998325,310.8855937998742,310.885609399993,310.9008463998325,,315.88983160001226,"['k', 'j']",2,XCPK,"['k', 'j']",False,"[0.9590534998569638, 1.2230982999317348]","[0.1935199999716133, 0.2270674998871982]",981265,001,2024-11-17_23h27.52.686,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 23h27.59.487025 +0530,
43,0,43,0,315.9061984999571,,,,,,,,,315.89181469986215,315.9061984999571,316.4069347998593,316.8911746998783,317.8922452998813,317.8760532999877,317.87606889987364,317.8922452998813,322.89770099986345,322.8819003999233,"['s', 'q']",1,SQAC,"['s', 'q']",False,"[None, 0.5133751002140343]","[None, 0.2982847997918725]",981265,001,2024-11-17_23h27.52.686,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 23h27.59.487025 +0530,
44,0,44,0,322.89770099986345,,,,,,,,,322.88271479983814,322.89770099986345,323.39803109993227,323.8984252999071,324.89990309998393,324.884057499934,324.88407569983974,324.89990309998393,329.9052339999471,329.88945130002685,"['k', 'n']",1,NNCV,"['k', 'n']",False,"[1.4080364999826998, 1.7173961999360472]","[0.2129424000158906, 0.20440190006047487]",981265,001,2024-11-17_23h27.52.686,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 23h27.59.487025 +0530,
45,0,45,0,329.9052339999471,,,,,,,,,329.890284499852,329.9052339999471,330.4060664998833,330.88978219986893,331.8907498999033,331.8747784998268,331.87479549995624,331.8907498999033,336.896310799988,336.8803726998158,"['r', 'g']",0,RGAI,"['r', 'g']",False,"[0.23261569999158382, 1.5763765999581665]","[0.23932870011776686, 0.2740873999428004]",981265,001,2024-11-17_23h27.52.686,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 23h27.59.487025 +0530,
46,0,46,0,336.896310799988,,,,,,,,,336.88122889981605,336.896310799988,337.396756199887,337.89745549997315,338.8983775000088,338.8828716999851,338.882886499865,338.8983775000088,343.90378389996476,343.8878371999599,"['f', 's']",1,BSRU,"['f', 's']",False,"[0.6471657999791205, 1.0598585000261664]","[0.2607967001385987, 0.22688669990748167]",981265,001,2024-11-17_23h27.52.686,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 23h27.59.487025 +0530,
47,0,47,0,343.90378389996476,,,,,,,,,343.8886555999052,343.90378389996476,344.4044735999778,344.8882706000004,345.8895959998481,345.87323999986984,345.87325889989734,345.8895959998481,350.8950286998879,350.879021700006,"['t', 'y']",1,TYOE,"['t', 'y']",False,"[1.3725296000484377, 1.6534690998960286]","[0.2581217000260949, 0.19451330020092428]",981265,001,2024-11-17_23h27.52.686,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 23h27.59.487025 +0530,
48,0,48,0,350.8950286998879,,,,,,,,,350.88003390002996,350.8950286998879,351.3957717998419,351.8962325998582,352.8971339999698,352.8816225999035,352.88164079980925,352.8971339999698,357.90262899990194,357.8867802999448,"['p', 'o']",0,PQFK,"['p', 'o']",False,"[0.40514069981873035, 0.7804493999574333]","[0.24409260018728673, 0.2660759000573307]",981265,001,2024-11-17_23h27.52.686,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 23h27.59.487025 +0530,
49,0,49,0,357.90262899990194,,,,,,,,,357.88765569985844,357.90262899990194,358.40328839980066,358.9037756999023,359.9055001998786,359.8889511998277,359.8889662998263,359.9055001998786,,364.89399779983796,"['y', 'a']",1,YAMB,"['y', 'a']",False,"[0.44799680006690323, 0.7697185000870377]","[0.22603040002286434, 0.24996659997850657]",981265,001,2024-11-17_23h27.52.686,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 23h27.59.487025 +0530,
50,0,50,0,364.91076769982465,,,,,,,,,364.89498769980855,364.91076769982465,365.41096379980445,365.8948193998076,366.8958850998897,366.8808887999039,366.8809505000245,366.8958850998897,371.90164709999226,371.88585569988936,"['w', 'x', 'z']",2,WWZL,"['w', 'x', 'z']",False,"[0.5255992000456899, 1.4470786000601947, 2.2292140000499785]","[0.26412310008890927, 0.34624670003540814, 0.3553456999361515]",981265,001,2024-11-17_23h27.52.686,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 23h27.59.487025 +0530,
51,0,51,0,371.90164709999226,,,,,,,,,371.8867055999581,371.90164709999226,372.4023009999655,372.90276379999705,373.9037215998396,373.8877657998819,373.8877832000144,373.9037215998396,,378.89264959981665,"['g', 's']",0,GSTV,"['g', 's']",False,"[0.5861049999948591, 0.8742657999973744]","[0.2335755000822246, 0.27334730001166463]",981265,001,2024-11-17_23h27.52.686,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 23h27.59.487025 +0530,
52,0,52,0,378.909207199933,,,,,,,,,378.893582199933,378.909207199933,379.410219399957,379.89391969982535,380.8945877000224,380.87905709980987,380.87907269992866,380.8945877000224,385.9001688999124,385.88452949980274,"['k', 'j']",2,JVFG,"['k', 'j']",False,"[1.1239069001749158, 1.3819671000819653]","[0.21043209987692535, 0.21385870012454689]",981265,001,2024-11-17_23h27.52.686,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 23h27.59.487025 +0530,
53,0,53,0,385.9001688999124,,,,,,,,,385.8856440000236,385.9001688999124,386.4010383998975,386.9014016999863,387.9025928999763,387.8869398999959,387.88695740001276,387.9025928999763,,392.89132109982893,"['t', 'r', 'd', 'j', 'k']",1,TRLT,"['t', 'r', 'd', 'j', 'k']",False,"[0.32209330005571246, 0.6995511001441628, 3.7926713000051677, 3.8499756001401693, 3.8727703001350164]","[0.24318019999191165, 0.24903559987433255, 0.23674000008031726, 0.2412333998363465, 0.19630119996145368]",981265,001,2024-11-17_23h27.52.686,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 23h27.59.487025 +0530,
54,0,54,0,392.90812869998626,,,,,,,,,392.89234149991535,392.90812869998626,393.40862159989774,393.8926023999229,394.8934315999504,394.8781242999248,394.87814489984885,394.8934315999504,399.89891829993576,399.8831482999958,"['l', 'n']",0,LNVV,"['l', 'n']",False,"[0.3102041999809444, 0.7249261999968439]","[0.24777020001783967, 0.23422139999456704]",981265,001,2024-11-17_23h27.52.686,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 23h27.59.487025 +0530,
55,0,55,0,399.89891829993576,,,,,,,,,399.884150599828,399.89891829993576,400.40007299999706,400.8999760998413,401.901071799919,401.88593569980003,401.8859507997986,401.901071799919,,406.8901076000184,"['i', 'm']",2,IMMT,"['i', 'm']",False,"[0.02085949992761016, 0.41536940005607903]","[0.1985864001326263, 0.23990150005556643]",981265,001,2024-11-17_23h27.52.686,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 23h27.59.487025 +0530,
56,0,56,0,406.90704540000297,,,,,,,,,406.89128299988806,406.90704540000297,407.40723579982296,407.89186719991267,408.8925490998663,408.87680139997974,408.8768153998535,408.8925490998663,413.8986159998458,413.8821500998456,"['j', 'r', 'r', 'm']",1,XRIS,"['j', 'r', 'r', 'm']",False,"[1.0982808999251574, 1.7309053000062704, 2.753933700034395, 3.247159200021997]","[0.25278889993205667, 0.2563530998304486, 0.2564983000047505, 0.25408230000175536]",981265,001,2024-11-17_23h27.52.686,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 23h27.59.487025 +0530,
