trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,introduction.started,text.started,key_resp.started,introduction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,letter_grid.started,letter_grid.stopped,row_cue.started,row_cue.stopped,trial.stopped,response_routine.started,response.started,response.stopped,response_routine.stopped,response.keys,Cued Row,Correct Row,Participant Response,Is Correct,response.rt,response.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.00359259988181293,0.011537299957126379,0.011537299957126379,14.889108099974692,space,14.783965300070122,None,,,,,,,,,,,,,,,,,,981265,001,2024-11-17_23h27.52.686,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 23h27.59.487025 +0530,
0,0,0,0,14.906408499926329,,,,,,,,,14.892081199912354,14.906408499926329,15.40890649985522,15.892430000007153,16.89371019997634,16.878171199932694,16.87818879983388,16.89371019997634,21.978255899855867,21.88344829995185,None,0,SCTG,None,False,,,981265,001,2024-11-17_23h27.52.686,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 23h27.59.487025 +0530,
1,0,1,0,21.978255899855867,,,,,,,,,21.886762299807742,21.978255899855867,22.48319199983962,22.900712999980897,23.9012642998714,23.88631819980219,23.886344499886036,23.9012642998714,,28.890605099964887,"['n', 'f']",0,NFDO,"['n', 'f']",False,"[0.4963410999625921, 1.2617532999720424]","[0.22972519998438656, 0.15987340011633933]",981265,001,2024-11-17_23h27.52.686,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 23h27.59.487025 +0530,
2,0,2,0,28.906753899995238,,,,,,,,,28.892998199909925,28.906753899995238,29.40762749989517,29.891096299979836,30.893095899838954,30.876999099971727,30.877014399971813,30.893095899838954,35.897971499944106,35.88261740002781,"['t', 'p']",0,TPVM,"['t', 'p']",False,"[0.4632644997909665, 1.0127757999580353]","[0.25209550000727177, 0.3272456999402493]",981265,001,2024-11-17_23h27.52.686,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 23h27.59.487025 +0530,
3,0,3,0,35.897971499944106,,,,,,,,,35.884646699996665,35.897971499944106,36.39840059983544,36.8997349999845,37.90038519981317,37.88426849991083,37.88428759993985,37.90038519981317,42.90562550001778,42.88966159988195,"['q', 's']",0,QAXK,"['q', 's']",False,"[1.4895613000262529, 2.5228159001562744]","[0.28263649996370077, 0.2899813998956233]",981265,001,2024-11-17_23h27.52.686,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 23h27.59.487025 +0530,
4,0,4,0,42.90562550001778,,,,,,,,,42.891105899820104,42.90562550001778,43.40634649991989,43.89030719990842,44.891092099947855,44.87534469994716,44.87537539983168,44.891092099947855,49.89661189983599,49.88101139990613,"['y', 't']",2,YTJE,"['y', 't']",False,"[0.3451213000807911, 0.7645091000013053]","[0.2013784998562187, 0.24547840002924204]",981265,001,2024-11-17_23h27.52.686,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 23h27.59.487025 +0530,
5,0,5,0,49.89661189983599,,,,,,,,,49.882551399990916,49.89661189983599,50.397594099864364,50.89784329989925,51.89942259993404,51.88344389991835,51.8834716998972,51.89942259993404,56.90449339989573,56.888367999810725,"['l', 'v']",1,LVHV,"['l', 'v']",False,"[0.8627432000357658, 1.320342699997127]","[0.2700952999293804, 0.23783080000430346]",981265,001,2024-11-17_23h27.52.686,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 23h27.59.487025 +0530,
6,0,6,0,56.90449339989573,,,,,,,,,56.89072519983165,56.90449339989573,57.40521919983439,57.88867629994638,58.88992659980431,58.87403029995039,58.8740483999718,58.88992659980431,63.89607060002163,63.87980799982324,"['d', 'w']",0,DWFB,"['d', 'w']",False,"[1.918127299984917, 2.4453857000917196]","[0.2836071001365781, 0.26357319997623563]",981265,001,2024-11-17_23h27.52.686,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 23h27.59.487025 +0530,
7,0,7,0,63.89607060002163,,,,,,,,,63.881069799885154,63.89607060002163,64.39614339987747,64.89648039988242,65.89687259984203,65.8814538998995,65.88149159983732,65.89687259984203,70.9030347999651,70.88712299987674,"['q', 'g']",0,OGVP,"['q', 'g']",False,"[0.4973222000990063, 1.246508900076151]","[0.2490045998711139, 0.25759120006114244]",981265,001,2024-11-17_23h27.52.686,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 23h27.59.487025 +0530,
8,0,8,0,70.9030347999651,,,,,,,,,70.88969599991105,70.9030347999651,71.4038688999135,71.90418830001727,72.90543309994973,72.88938879990019,72.88940360001288,72.90543309994973,,77.89492330001667,"['p', 'l']",0,PLVI,"['p', 'l']",False,"[0.3469297999981791, 0.7290308999363333]","[0.25040160003118217, 0.32816820009611547]",981265,001,2024-11-17_23h27.52.686,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 23h27.59.487025 +0530,
