trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,introduction.started,text.started,key_resp.started,introduction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,letter_grid.started,letter_grid.stopped,row_cue.started,row_cue.stopped,trial.stopped,response_routine.started,response.started,response.stopped,response_routine.stopped,response.keys,Cued Row,Correct Row,Participant Response,Is Correct,response.rt,response.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
46,0,46,0,162.95332889957353,,,,,,,,,162.93830879963934,162.95332889957353,163.45414859987795,163.95454069972038,164.95571689959615,164.93977169971913,164.93978819996119,164.95571689959615,166.45726219983771,166.44086979981512,"['t', 'a']",0,TKCD,"['t', 'a']",False,"[0.0511035998351872, 0.19061690010130405]","[0.08083150023594499, 0.0748866000212729]",040889,001,2024-11-20_15h12.06.838,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h12.11.665974 +0530,
47,0,47,0,166.45726219983771,,,,,,,,,166.44220289960504,166.45726219983771,166.95838989969343,167.4583426997997,168.4587407996878,168.44325799960643,168.44327819999307,168.4587407996878,169.96107499999925,169.94593669986352,['f'],1,BFTA,['f'],False,[0.911795400083065],[0.07466219970956445],040889,001,2024-11-20_15h12.06.838,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h12.11.665974 +0530,
48,0,48,0,169.96107499999925,,,,,,,,,169.94675509957597,169.96107499999925,170.46179699990898,170.96221999963745,171.96338179986924,171.94769549975172,171.94771229987964,171.96338179986924,173.46507589984685,173.4492229996249,['s'],1,SBHU,['s'],False,[0.014398599974811077],[0.07022619992494583],040889,001,2024-11-20_15h12.06.838,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h12.11.665974 +0530,
49,0,49,0,173.46507589984685,,,,,,,,,173.45007989974692,173.46507589984685,173.96597339957952,174.46597339957952,175.46751139964908,175.4512121998705,175.45122719975188,175.46751139964908,,176.95207069953904,['x'],2,BCRX,['x'],False,[0.3709102999418974],[0.08596990024670959],040889,001,2024-11-20_15h12.06.838,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h12.11.665974 +0530,
50,0,50,0,176.96900359960273,,,,,,,,,176.95306169986725,176.96900359960273,177.46941029978916,177.95348589960486,178.95509349973872,178.93856389960274,178.9385832999833,178.95509349973872,180.45639829989523,180.44021059991792,"['r', 'h']",0,HKEV,"['r', 'h']",False,"[0.42045290023088455, 0.8237013001926243]","[0.09225460002198815, 0.07518669962882996]",040889,001,2024-11-20_15h12.06.838,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h12.11.665974 +0530,
51,0,51,0,180.45639829989523,,,,,,,,,180.4418462999165,180.45639829989523,180.95639729965478,181.45726649975404,182.4584160996601,182.44253189954907,182.44254819955677,182.4584160996601,183.95959199965,183.94408079981804,"['k', 'b']",1,KBLS,"['k', 'b']",False,"[0.08858580002561212, 0.5118581000715494]","[0.06924300035461783, 0.08281640009954572]",040889,001,2024-11-20_15h12.06.838,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h12.11.665974 +0530,
52,0,52,0,183.95959199965,,,,,,,,,183.9452013997361,183.95959199965,184.46061859978363,184.9609493999742,185.96231099963188,185.94633349962533,185.9463558997959,185.96231099963188,187.46367529965937,187.44772569974884,"['w', 'o']",2,WOAD,"['w', 'o']",False,"[0.21404960006475449, 0.5755088999867439]","[0.09918159991502762, 0.09259560005739331]",040889,001,2024-11-20_15h12.06.838,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h12.11.665974 +0530,
53,0,53,0,187.46367529965937,,,,,,,,,187.44865999976173,187.46367529965937,187.9644718999043,188.4650792996399,189.4660674999468,189.45009599998593,189.45011099986732,189.4660674999468,,190.95136179961264,"['g', 'u']",0,DAIO,"['g', 'u']",False,"[0.39426220022141933, 0.7610086998902261]","[0.07870600000023842, 0.0828200001269579]",040889,001,2024-11-20_15h12.06.838,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h12.11.665974 +0530,
54,0,54,0,190.96762129990384,,,,,,,,,190.95228039985523,190.96762129990384,191.4681622995995,191.95208239974454,192.9530679997988,192.9372753999196,192.93729729996994,192.9530679997988,194.45477969991043,194.43890099972486,"['n', 'y']",1,NYVI,"['n', 'y']",False,"[0.3351193000562489, 0.5784174003638327]","[0.06332890037447214, 0.07938419980928302]",040889,001,2024-11-20_15h12.06.838,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h12.11.665974 +0530,
55,0,55,0,194.45477969991043,,,,,,,,,194.4405888998881,194.45477969991043,194.95501699997112,195.4556593997404,196.4570404998958,196.4412108999677,196.44122629985213,196.4570404998958,197.95862739998847,197.94293459970504,['r'],1,GRIE,['r'],False,[0.09315580036491156],[0.06719799991697073],040889,001,2024-11-20_15h12.06.838,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h12.11.665974 +0530,
56,0,56,0,197.95862739998847,,,,,,,,,197.9440463995561,197.95862739998847,198.4592227996327,198.95966569986194,199.9608139996417,199.94526019971818,199.9452756997198,199.9608139996417,201.46234269998968,201.44677809998393,"['r', 'e']",0,WSEL,"['r', 'e']",False,"[0.6505371001549065, 1.1492255004122853]","[0.07507540006190538, 0.06714219972491264]",040889,001,2024-11-20_15h12.06.838,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h12.11.665974 +0530,
57,0,57,0,201.46234269998968,,,,,,,,,201.44790379982442,201.46234269998968,201.9633003999479,202.4635734995827,203.46446729963645,203.44855079986155,203.44856659974903,203.46446729963645,204.96628549974412,204.95020839991048,"['r', 'h']",0,CHKZ,"['r', 'h']",False,"[0.376800499856472, 0.9755827998742461]","[0.08801790000870824, 0.08157450007274747]",040889,001,2024-11-20_15h12.06.838,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h12.11.665974 +0530,
58,0,58,0,204.96628549974412,,,,,,,,,204.95143179968,204.96628549974412,205.46726379962638,205.95065469993278,206.95179149974138,206.93643489992246,206.93645439995453,206.95179149974138,208.4537968998775,208.43756429990754,"['c', 'k']",0,CKON,"['c', 'k']",False,"[0.25251480005681515, 0.5264858999289572]","[0.07935899961739779, 0.06950449990108609]",040889,001,2024-11-20_15h12.06.838,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h12.11.665974 +0530,
59,0,59,0,208.4537968998775,,,,,,,,,208.43838659999892,208.4537968998775,208.9543136996217,209.4547606999986,210.45573069993407,210.4397282996215,210.43974399985746,210.45573069993407,211.9573186999187,211.94153029983863,"['l', 'm']",0,LMYP,"['l', 'm']",False,"[0.1915530003607273, 0.40352430008351803]","[0.07224939996376634, 0.06933730002492666]",040889,001,2024-11-20_15h12.06.838,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h12.11.665974 +0530,
