trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,introduction.started,text.started,key_resp.started,introduction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,letter_grid.started,letter_grid.stopped,row_cue.started,row_cue.stopped,trial.stopped,response_routine.started,response.started,response.stopped,response_routine.stopped,response.keys,response.rt,response.duration,Cued Row,Correct Row,Participant Response,Is Correct,participant,session,date,expName,psychopyVersion,frameRate,expStart,
13,0,13,0,54.45900260005146,,,,,,,,,54.44380640005693,54.45900260005146,54.959634200204164,55.45973220001906,56.460928100161254,56.4453221000731,56.445338000077754,56.460928100161254,58.463854500092566,58.447461400181055,['u'],[0.6227153996005654],[0.06897730007767677],0,UOQI,['u'],False,109840,001,2024-11-20_15h04.33.293,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h04.39.177981 +0530,
14,0,14,0,58.463854500092566,,,,,,,,,58.44844170007855,58.463854500092566,58.96392130013555,59.46453800005838,60.46571769984439,60.44994580000639,60.44996549980715,60.46571769984439,62.467929100152105,62.45178999984637,"['r', 'k']","[0.33086569979786873, 0.8985910997726023]","[0.07231889991089702, 0.06746069993823767]",1,RKQJ,"['r', 'k']",False,109840,001,2024-11-20_15h04.33.293,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h04.39.177981 +0530,
15,0,15,0,62.467929100152105,,,,,,,,,62.452874899841845,62.467929100152105,62.96849330002442,63.45168279996142,64.45321180019528,64.43736610002816,64.43738120002672,64.45321180019528,66.45564890000969,66.43955870019272,"['u', 'g']","[0.7299815998412669, 1.263124099932611]","[0.07292860001325607, 0.0685505997389555]",0,UCDG,"['u', 'g']",False,109840,001,2024-11-20_15h04.33.293,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h04.39.177981 +0530,
16,0,16,0,66.45564890000969,,,,,,,,,66.44065340002999,66.45564890000969,66.95617449982092,67.4563939999789,68.45778639987111,68.4420175999403,68.4420360000804,68.45778639987111,70.4600419998169,70.44428029982373,['a'],[0.7359171998687088],[0.09160139970481396],2,HFKA,['a'],False,109840,001,2024-11-20_15h04.33.293,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h04.39.177981 +0530,
17,0,17,0,70.4600419998169,,,,,,,,,70.44539549993351,70.4600419998169,70.96047340007499,71.46109959995374,72.46172480005771,72.44621860003099,72.44623549981043,72.46172480005771,74.46419799979776,74.44883049977943,['w'],[0.7163698999211192],[0.10275149997323751],2,UWNQ,['w'],False,109840,001,2024-11-20_15h04.33.293,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h04.39.177981 +0530,
18,0,18,0,74.46419799979776,,,,,,,,,74.44994980003685,74.46419799979776,74.96487940009683,75.46535379998386,76.46655499981716,76.45055639976636,76.45057129999623,76.46655499981716,,78.45229570008814,['j'],[0.6961169000715017],[0.07838610000908375],2,VUWB,['j'],False,109840,001,2024-11-20_15h04.33.293,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h04.39.177981 +0530,
19,0,19,0,78.46884460002184,,,,,,,,,78.45347899990156,78.46884460002184,78.9691785001196,79.4529633000493,80.4541274998337,80.43835619976744,80.43837059987709,80.4541274998337,82.45637969998643,82.44052969990298,['i'],[0.21050990000367165],[0.08324260031804442],0,IYQZ,['i'],False,109840,001,2024-11-20_15h04.33.293,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h04.39.177981 +0530,
20,0,20,0,82.45637969998643,,,,,,,,,82.44137750007212,82.45637969998643,82.95697579998523,83.45725610014051,84.45873210020363,84.44284710008651,84.44286220008507,84.45873210020363,86.4608322000131,86.44487969996408,['l'],[0.5028287000022829],[0.07544010039418936],0,LFRQ,['l'],False,109840,001,2024-11-20_15h04.33.293,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h04.39.177981 +0530,
21,0,21,0,86.4608322000131,,,,,,,,,86.44569640001282,86.4608322000131,86.96139679988846,87.46197750000283,88.4630002998747,88.447337300051,88.44735849974677,88.4630002998747,90.46509710000828,90.44927900005132,"['m', 'b']","[0.5904041002504528, 0.8491863003000617]","[0.07885849988088012, 0.0784482997842133]",0,MBIS,"['m', 'b']",False,109840,001,2024-11-20_15h04.33.293,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h04.39.177981 +0530,
22,0,22,0,90.46509710000828,,,,,,,,,90.45016349991783,90.46509710000828,90.96591369993985,91.46637629996985,92.46745799994096,92.45166550017893,92.45168420020491,92.46745799994096,,94.45314919995144,['v'],[0.8226252999156713],[0.08953290013596416],2,ZVAF,['v'],False,109840,001,2024-11-20_15h04.33.293,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h04.39.177981 +0530,
