trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,introduction.started,text.started,key_resp.started,introduction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,letter_grid.started,trial.stopped,response_routine.started,response.started,response_routine.stopped,response.keys,response.rt,response.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
40,0,40,0,259.64006859995425,,,,,,,,,259.62530749989673,259.64006859995425,260.1234286997933,260.1234843998682,260.1395028999541,265.1284733999055,"['g', 'w', 'h']","[2.0039570999797434, 2.593220700044185, 4.583193100057542]","[0.12227339996024966, 0.1222907998599112, 0.11186710000038147]",538039,001,2024-11-18_09h38.49.105,WholeReportMethod,2024.1.5,None,2024-11-18 09h38.57.645272 +0530,
41,0,41,0,265.14632589998655,,,,,,,,,265.13175469986163,265.14632589998655,265.62920879991725,265.6292655998841,265.6457363998052,270.6344687999226,"['u', 'v', 'n', 'j']","[1.5737392001319677, 2.451511299936101, 3.7648620000109076, 4.0426616000477225]","[0.1119049999397248, 0.09846450015902519, 0.10328259994275868, 0.08880420005880296]",538039,001,2024-11-18_09h38.49.105,WholeReportMethod,2024.1.5,None,2024-11-18 09h38.57.645272 +0530,
42,0,42,0,270.6533558999654,,,,,,,,,270.63752909982577,270.6533558999654,271.13511479995213,271.1351782998536,271.1515806999523,276.1241929999087,"['p', 's', 'g', 'g']","[1.7174217998981476, 2.097283500013873, 2.5763902999460697, 2.7433722999412566]","[0.11504890001378953, 0.09779429994523525, 0.07978329993784428, 0.06863009999506176]",538039,001,2024-11-18_09h38.49.105,WholeReportMethod,2024.1.5,None,2024-11-18 09h38.57.645272 +0530,
43,0,43,0,276.1398366999347,,,,,,,,,276.12622329988517,276.1398366999347,276.62458689999767,276.6246237999294,276.6411831998266,281.62980899983086,"['q', 'b', 'q', 'n']","[2.3382115000858903, 2.9282867999281734, 3.4396565000060946, 3.9580268000718206]","[0.14932519989088178, 0.1199961001984775, 0.13402660004794598, 0.09579449985176325]",538039,001,2024-11-18_09h38.49.105,WholeReportMethod,2024.1.5,None,2024-11-18 09h38.57.645272 +0530,
44,0,44,0,281.64765469986014,,,,,,,,,281.63331659999676,281.64765469986014,282.1308210999705,282.13101909984834,282.1472715998534,287.13605359988287,"['u', 'v', 'r', 's']","[3.1986495999153703, 3.690263400087133, 4.209694700082764, 4.564957200083882]","[0.12538390001282096, 0.11626689997501671, 0.11877019982784986, 0.1080878998618573]",538039,001,2024-11-18_09h38.49.105,WholeReportMethod,2024.1.5,None,2024-11-18 09h38.57.645272 +0530,
45,0,45,0,287.1545011999551,,,,,,,,,287.13885459979065,287.1545011999551,287.6368614998646,287.6369026999455,287.654027499957,292.6254184998106,"['t', 'n', 'c', 'a']","[2.1716777998954058, 2.610819200053811, 3.2726344999391586, 3.4060934998560697]","[0.09216480003669858, 0.11606159992516041, 0.09379780013114214, 0.11019320017658174]",538039,001,2024-11-18_09h38.49.105,WholeReportMethod,2024.1.5,None,2024-11-18 09h38.57.645272 +0530,
46,0,46,0,292.6427804999985,,,,,,,,,292.62791909999214,292.6427804999985,293.1264471998438,293.1264898998197,293.14245869987644,298.13130729994737,"['a', 's', 'b', 'x']","[1.1468719001859426, 1.4952132999897003, 2.2956640000920743, 2.770544100087136]","[0.12779819988645613, 0.12156040011905134, 0.10831140005029738, 0.12810490000993013]",538039,001,2024-11-18_09h38.49.105,WholeReportMethod,2024.1.5,None,2024-11-18 09h38.57.645272 +0530,
47,0,47,0,298.1501646998804,,,,,,,,,298.1342584998347,298.1501646998804,298.6319154999219,298.6319532999769,298.6493251998909,303.63767689978704,"['b', 'x', 'o', 'd']","[2.02199889998883, 2.6880602000746876, 3.463664700044319, 4.001116900006309]","[0.11358399991877377, 0.10604509990662336, 0.10662809992209077, 0.10301159997470677]",538039,001,2024-11-18_09h38.49.105,WholeReportMethod,2024.1.5,None,2024-11-18 09h38.57.645272 +0530,
48,0,48,0,303.65542289987206,,,,,,,,,303.64042589999735,303.65542289987206,304.13830249989405,304.1383445998654,304.1548735999968,309.12684139981866,"['d', 'j', 'o', 'u']","[2.2746908999979496, 2.621150800026953, 3.0024637999013066, 3.6054626998957247]","[0.14782599988393486, 0.11898519983515143, 0.13145410013385117, 0.12685290002264082]",538039,001,2024-11-18_09h38.49.105,WholeReportMethod,2024.1.5,None,2024-11-18 09h38.57.645272 +0530,
49,0,49,0,309.14467749977484,,,,,,,,,309.1297064998653,309.14467749977484,309.62783469981514,309.62787949992344,309.64452979993075,314.63280249992386,"['x', 'y', 'g']","[2.452347500016913, 3.6285559001844376, 4.432718300027773]","[0.13481079996563494, 0.12091969978064299, 0.1052328001242131]",538039,001,2024-11-18_09h38.49.105,WholeReportMethod,2024.1.5,None,2024-11-18 09h38.57.645272 +0530,
