trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,introduction.started,text.started,key_resp.started,introduction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,letter_grid.started,trial.stopped,response_routine.started,response.started,response_routine.stopped,response.keys,response.rt,response.duration,letter_grid.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
12,0,12,0,69.06954749999568,,,,,,,,,69.05616870010272,69.06954749999568,69.55400280002505,69.55403169989586,69.56990640005097,74.54245069995522,"['j', 'b', 'u', 'a']","[1.2372988001443446, 1.5084691001102328, 1.8805937999859452, 2.136006999993697]","[0.12923379987478256, 0.09583489992655814, 0.13496219995431602, 0.21208530012518167]",,076667,001,2024-11-17_13h51.34.282,WholeReportMethod,2024.1.5,None,2024-11-17 13h51.40.356009 +0530,
13,0,13,0,74.55993580003269,,,,,,,,,74.5447396999225,74.55993580003269,75.04464549990371,75.04467159998603,75.05914520006627,80.04989490006119,"['w', 'c', 'v', 'c']","[2.0007609999738634, 2.740116500062868, 3.086913299979642, 3.4090792001225054]","[0.22823840007185936, 0.21635670005343854, 0.18099360004998744, 0.2042974999640137]",,076667,001,2024-11-17_13h51.34.282,WholeReportMethod,2024.1.5,None,2024-11-17 13h51.40.356009 +0530,
14,0,14,0,80.06459409999661,,,,,,,,,80.05157559993677,80.06459409999661,80.54916339996271,80.54919259995222,80.56609530001879,85.55431249993853,"['e', 't', 'c', 't']","[1.4921730000060052, 1.8242558999918401, 2.3899816998746246, 2.778317099902779]","[0.259719799971208, 0.2261473999824375, 0.20671140006743371, 0.26419180002994835]",,076667,001,2024-11-17_13h51.34.282,WholeReportMethod,2024.1.5,None,2024-11-17 13h51.40.356009 +0530,
15,0,15,0,85.57387640001252,,,,,,,,,85.55823970003985,85.57387640001252,86.04005960002542,86.04010339989327,86.0551593999844,91.04563759989105,"['o', 'c', 'u', 'i']","[0.7302097999490798, 1.1349513998720795, 1.4097742000594735, 1.6260514000896364]","[0.22375050000846386, 0.2259734000544995, 0.19855770003050566, 0.13414059998467565]",,076667,001,2024-11-17_13h51.34.282,WholeReportMethod,2024.1.5,None,2024-11-17 13h51.40.356009 +0530,
16,0,16,0,91.06144420010969,,,,,,,,,91.0484627999831,91.06144420010969,91.54462699987926,91.54467780003324,91.56166439992376,96.54996589990333,"['r', 'h', 'k', 'l']","[1.2743985999841243, 1.8973985998891294, 2.153736599953845, 2.378660300048068]","[0.22173930006101727, 0.20687210001051426, 0.19026959990151227, 0.22065329994075]",,076667,001,2024-11-17_13h51.34.282,WholeReportMethod,2024.1.5,None,2024-11-17 13h51.40.356009 +0530,
17,0,17,0,96.56736620003358,,,,,,,,,96.55337330000475,96.56736620003358,97.05038059991784,97.05042229988612,97.06715869996697,102.04018969996832,"['l', 'q', 'a', 'z']","[2.419384300010279, 2.986573699861765, 3.523134399903938, 4.375614699907601]","[0.32253520004451275, 0.246526800096035, 0.22762449993751943, 0.26292719994671643]",,076667,001,2024-11-17_13h51.34.282,WholeReportMethod,2024.1.5,None,2024-11-17 13h51.40.356009 +0530,
18,0,18,0,102.05967539991252,,,,,,,,,102.04486729996279,102.05967539991252,102.54000229993835,102.54005259997211,102.55606599990278,107.54526949999854,"['i', 't', 'c', 'r']","[1.1321363998576999, 1.3297987999394536, 1.838303499855101, 2.169430200010538]","[0.1672785000409931, 0.18433530000038445, 0.19090090016834438, 0.20079759997315705]",,076667,001,2024-11-17_13h51.34.282,WholeReportMethod,2024.1.5,None,2024-11-17 13h51.40.356009 +0530,
19,0,19,0,107.56519729993306,,,,,,,,,107.54787959996611,107.56519729993306,108.04632609989494,108.04635720001534,108.06269229995087,113.05101129994728,"['p', 'y', 'r', 'q']","[0.9416956999339163, 1.515406799968332, 1.7124435000587255, 2.519746599951759]","[0.1985037000849843, 0.17586580011993647, 0.21164659992791712, 0.2275672999676317]",,076667,001,2024-11-17_13h51.34.282,WholeReportMethod,2024.1.5,None,2024-11-17 13h51.40.356009 +0530,
20,0,20,0,113.06742889992893,,,,,,,,,113.05290009989403,113.06742889992893,113.55228390009142,113.55233579990454,113.56882439996116,118.54148570005782,"['i', 'u', 'i', 'l']","[0.8023722001817077, 1.0723966001532972, 1.3294469001702964, 1.802808600012213]","[0.197405899874866, 0.16855830000713468, 0.14138439996168017, 0.18191090016625822]",,076667,001,2024-11-17_13h51.34.282,WholeReportMethod,2024.1.5,None,2024-11-17 13h51.40.356009 +0530,
21,0,21,0,118.55984140001237,,,,,,,,,118.54413819988258,118.55984140001237,119.04168989998288,119.0417168000713,119.0574137000367,124.04682440008037,"['c', 'f', 's', 'm']","[0.9509078999981284, 1.7533827000297606, 2.1134756999090314, 2.4871184998191893]","[0.2371828998439014, 0.1883000999223441, 0.2145901001058519, 0.2010483001358807]",,076667,001,2024-11-17_13h51.34.282,WholeReportMethod,2024.1.5,None,2024-11-17 13h51.40.356009 +0530,
