trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,introduction.started,text.started,key_resp.started,introduction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,letter_grid.started,trial.stopped,response_routine.started,response.started,response_routine.stopped,response.keys,response.rt,response.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.0031097999308258295,0.019368999870494008,0.019368999870494008,25.12632769998163,space,25.08653869992122,None,,,,,,,,,,873911,001,2024-11-18_09h49.14.957,WholeReportMethod,2024.1.5,None,2024-11-18 09h49.21.717233 +0530,
0,0,0,0,25.15575769986026,,,,,,,,,25.130972999846563,25.15575769986026,25.631603099871427,25.63163199997507,25.64753589988686,30.636324199847877,"['s', 'p', 'x', 't']","[1.5748594000469893, 2.209090700140223, 2.853776300093159, 3.4214630001224577]","[0.09764380007982254, 0.12847590004093945, 0.12486310000531375, 0.11557750008068979]",873911,001,2024-11-18_09h49.14.957,WholeReportMethod,2024.1.5,None,2024-11-18 09h49.21.717233 +0530,
1,0,1,0,30.65623929980211,,,,,,,,,30.63850379991345,30.65623929980211,31.136605799896643,31.136625699931756,31.15323689999059,36.127031799871475,"['p', 'b', 'f', 'g']","[1.7287677000276744, 2.465301000047475, 4.494270800147206, 4.758457000134513]","[0.12762439996004105, 0.12768459995277226, 0.09250929998233914, 0.10909959999844432]",873911,001,2024-11-18_09h49.14.957,WholeReportMethod,2024.1.5,None,2024-11-18 09h49.21.717233 +0530,
2,0,2,0,36.24607439991087,,,,,,,,,36.13244349998422,36.24607439991087,36.626893899869174,36.62698149983771,36.64391179988161,41.63211409980431,"['z', 'p', 'g']","[1.5440863000694662, 3.5601854999549687, 3.988706700038165]","[0.15392389986664057, 0.10168129997327924, 0.0927313999272883]",873911,001,2024-11-18_09h49.14.957,WholeReportMethod,2024.1.5,None,2024-11-18 09h49.21.717233 +0530,
3,0,3,0,41.64977499982342,,,,,,,,,41.63491619983688,41.64977499982342,42.132168899988756,42.13219099980779,42.149208599934354,47.13821260002442,"['p', 't', 'b', 'j']","[1.3630861998535693, 1.856395100010559, 2.3512936998158693, 2.8211461999453604]","[0.11541610001586378, 0.08545439993031323, 0.11840300005860627, 0.11850619991309941]",873911,001,2024-11-18_09h49.14.957,WholeReportMethod,2024.1.5,None,2024-11-18 09h49.21.717233 +0530,
4,0,4,0,47.15681679989211,,,,,,,,,47.14098299993202,47.15681679989211,47.638729400001466,47.638770799851045,47.65508609986864,52.627653599949554,"['m', 's', 'h', 'h']","[1.1990982999559492, 1.7473236001096666, 2.653093900065869, 2.974033599952236]","[0.11015840014442801, 0.12362780002877116, 0.09578499989584088, 0.10642349999397993]",873911,001,2024-11-18_09h49.14.957,WholeReportMethod,2024.1.5,None,2024-11-18 09h49.21.717233 +0530,
5,0,5,0,52.64596199989319,,,,,,,,,52.63059289986268,52.64596199989319,53.128376399865374,53.12841399991885,53.144820999819785,58.13378979987465,"['a', 'j', 'h']","[1.3170201999600977, 2.564722300041467, 2.920194099890068]","[0.15594480000436306, 0.12639399990439415, 0.11305160005576909]",873911,001,2024-11-18_09h49.14.957,WholeReportMethod,2024.1.5,None,2024-11-18 09h49.21.717233 +0530,
6,0,6,0,58.15224359999411,,,,,,,,,58.136487799929455,58.15224359999411,58.63391330000013,58.633935099933296,58.65060879988596,63.640228499891236,"['z', 'd', 'l']","[2.0447482999879867, 2.7117564999498427, 3.7842091999482363]","[0.13425810006447136, 0.1452759001404047, 0.11136960005387664]",873911,001,2024-11-18_09h49.14.957,WholeReportMethod,2024.1.5,None,2024-11-18 09h49.21.717233 +0530,
7,0,7,0,63.659398399991915,,,,,,,,,63.64313580002636,63.659398399991915,64.14107629982755,64.14110469981097,64.15693099983037,69.12968559982255,"['m', 'n', 'm', 'z']","[1.8643406999763101, 2.3287597000598907, 2.6428600000217557, 3.4003312001004815]","[0.11880850000306964, 0.0991229999344796, 0.11496310005895793, 0.13486979994922876]",873911,001,2024-11-18_09h49.14.957,WholeReportMethod,2024.1.5,None,2024-11-18 09h49.21.717233 +0530,
8,0,8,0,69.15001619979739,,,,,,,,,69.13271519984119,69.15001619979739,69.62974169990048,69.62977979984134,69.64606069982983,74.63620199984871,"['j', 'h', 'q']","[1.9098456997890025, 2.6727429998572916, 3.0459104999899864]","[0.128319300012663, 0.11505790008231997, 0.16469909995794296]",873911,001,2024-11-18_09h49.14.957,WholeReportMethod,2024.1.5,None,2024-11-18 09h49.21.717233 +0530,
9,0,9,0,74.65802179998718,,,,,,,,,74.64066639984958,74.65802179998718,75.13626790000126,75.1363199998159,75.15252489992417,80.14155639987439,"['b', 'h', 'y', 'q']","[1.7047237998340279, 2.0169157998170704, 3.1141138998791575, 3.5145107998978347]","[0.10528160003013909, 0.10783410002477467, 0.10788689996115863, 0.1635012999176979]",873911,001,2024-11-18_09h49.14.957,WholeReportMethod,2024.1.5,None,2024-11-18 09h49.21.717233 +0530,
10,0,10,0,80.15864149993286,,,,,,,,,80.14404419995844,80.15864149993286,80.64226979995146,80.64229969982989,80.65874499990605,85.63137570000254,"['z', 'y', 'c']","[1.525691700167954, 2.0798311000689864, 3.5344835000578314]","[0.1436623998451978, 0.10513369995169342, 0.11569619993679225]",873911,001,2024-11-18_09h49.14.957,WholeReportMethod,2024.1.5,None,2024-11-18 09h49.21.717233 +0530,
11,0,11,0,85.64921869989485,,,,,,,,,85.6341660998296,85.64921869989485,86.13182879984379,86.1318693999201,86.14808989991434,91.13669730001129,"['f', 'd', 'f', 'g']","[1.9203945000190288, 2.267697700066492, 2.5101554000284523, 2.801885599968955]","[0.11202110000886023, 0.1235642998944968, 0.10397620010189712, 0.11530120018869638]",873911,001,2024-11-18_09h49.14.957,WholeReportMethod,2024.1.5,None,2024-11-18 09h49.21.717233 +0530,
12,0,12,0,91.1529405999463,,,,,,,,,91.13872559997253,91.1529405999463,91.63711879984476,91.63714029989205,91.65340709988959,96.64283959986642,"['m', 'm', 'e', 'z']","[1.3686569000128657, 1.6058547999709845, 2.2025363999418914, 3.422289500012994]","[0.1054936998989433, 0.1054934998974204, 0.08927579992450774, 0.15183129999786615]",873911,001,2024-11-18_09h49.14.957,WholeReportMethod,2024.1.5,None,2024-11-18 09h49.21.717233 +0530,
13,0,13,0,96.66055289981887,,,,,,,,,96.64562949980609,96.66055289981887,97.12684809998609,97.1268699998036,97.14216499985196,102.13216889998876,"['z', 'q', 'd', 'f']","[1.62368299998343, 2.3163924000691622, 3.126085099996999, 3.4032322999555618]","[0.14872059994377196, 0.14594839978963137, 0.09545869985595345, 0.09930950007401407]",873911,001,2024-11-18_09h49.14.957,WholeReportMethod,2024.1.5,None,2024-11-18 09h49.21.717233 +0530,
14,0,14,0,102.15038599981926,,,,,,,,,102.13518749992363,102.15038599981926,102.63317079981789,102.63320999988355,102.6498355998192,107.63794629997574,"['c', 'o', 'v', 'y']","[2.1654074999969453, 2.5854952998925, 3.1035674999002367, 3.734726299997419]","[0.14520989987067878, 0.1137806000187993, 0.10538940015248954, 0.10558369988575578]",873911,001,2024-11-18_09h49.14.957,WholeReportMethod,2024.1.5,None,2024-11-18 09h49.21.717233 +0530,
15,0,15,0,107.65582879981957,,,,,,,,,107.64077789988369,107.65582879981957,108.13886950002052,108.13892679987475,108.15541010000743,113.12758219987154,"['x', 'q', 'm', 'i']","[1.721002300037071, 2.3093954001087695, 2.866948900045827, 3.2709089000709355]","[0.0886739999987185, 0.14443330001085997, 0.11375460005365312, 0.09570039995014668]",873911,001,2024-11-18_09h49.14.957,WholeReportMethod,2024.1.5,None,2024-11-18 09h49.21.717233 +0530,
16,0,16,0,113.14572859997861,,,,,,,,,113.13034299993888,113.14572859997861,113.62872339994647,113.62876309989952,113.64611219987273,118.63362979982048,"['i', 'c']","[2.6818661000579596, 3.3233356000855565]","[0.11538939992897213, 0.15504470001906157]",873911,001,2024-11-18_09h49.14.957,WholeReportMethod,2024.1.5,None,2024-11-18 09h49.21.717233 +0530,
17,0,17,0,118.64971119980328,,,,,,,,,118.6364247999154,118.64971119980328,119.13453419995494,119.13459569984116,119.15119179990143,124.1404797998257,"['x', 'u', 'c']","[2.0690927000250667, 2.801606100052595, 3.7902291999198496]","[0.13925660005770624, 0.1146843999158591, 0.11253829998895526]",873911,001,2024-11-18_09h49.14.957,WholeReportMethod,2024.1.5,None,2024-11-18 09h49.21.717233 +0530,
18,0,18,0,124.15722309984267,,,,,,,,,124.14317209995352,124.15722309984267,124.6405007999856,124.64055359992199,124.65695229987614,129.6296595998574,"['i', 'e', 'w', 'm']","[2.425296099856496, 3.2322911999654025, 3.908886400051415, 4.710462199989706]","[0.09972330019809306, 0.10863779997453094, 0.14713509986177087, 0.08147699991241097]",873911,001,2024-11-18_09h49.14.957,WholeReportMethod,2024.1.5,None,2024-11-18 09h49.21.717233 +0530,
19,0,19,0,129.6471569999121,,,,,,,,,129.6326093999669,129.6471569999121,130.12982929986902,130.12988030002452,130.1462664999999,135.1352470999118,"['b', 'd', 'p', 'u']","[3.147721500135958, 3.6084119000006467, 4.207959100138396, 4.604709699982777]","[0.12398929987102747, 0.08948610001243651, 0.08980479999445379, 0.07642990001477301]",873911,001,2024-11-18_09h49.14.957,WholeReportMethod,2024.1.5,None,2024-11-18 09h49.21.717233 +0530,
