trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,introduction.started,text.started,key_resp.started,introduction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,letter_grid.started,trial.stopped,response_routine.started,response.started,response_routine.stopped,response.keys,response.rt,response.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.0032746000215411186,0.0209927000105381,0.0209927000105381,13.4116772999987,space,13.37268829997629,None,,,,,,,,,,438452,001,2024-11-17_13h41.02.717,WholeReportMethod,2024.1.5,None,2024-11-17 13h41.09.510689 +0530,
0,0,0,0,13.434849699959159,,,,,,,,,13.41549040004611,13.434849699959159,13.920745800016448,13.92077840003185,13.93668229994364,18.925065600080416,None,,,438452,001,2024-11-17_13h41.02.717,WholeReportMethod,2024.1.5,None,2024-11-17 13h41.09.510689 +0530,
1,0,1,0,18.9425554999616,,,,,,,,,18.927960800006986,18.9425554999616,19.42654490005225,19.426569200120866,19.442870900034904,24.41492630005814,None,,,438452,001,2024-11-17_13h41.02.717,WholeReportMethod,2024.1.5,None,2024-11-17 13h41.09.510689 +0530,
2,0,2,0,24.432287000119686,,,,,,,,,24.416715699946508,24.432287000119686,24.915769800078124,24.91578739997931,24.932192499982193,29.921102300053462,"['x', 'd', 'g', 'o']","[2.9246277001220733, 3.2214799001812935, 3.8581150001846254, 4.26390860020183]","[0.16993029997684062, 0.1745909999590367, 0.23747669998556376, 0.23731819982640445]",438452,001,2024-11-17_13h41.02.717,WholeReportMethod,2024.1.5,None,2024-11-17 13h41.09.510689 +0530,
3,0,3,0,30.03063750010915,,,,,,,,,29.923849900020286,30.03063750010915,30.42155980016105,30.42159130005166,30.43887250008993,35.42770990007557,"['n', 'w', 'n', 'r']","[1.3027929000090808, 1.6248598999809474, 2.324207399971783, 2.802861499832943]","[0.16718779993243515, 0.18463149992749095, 0.16463749995455146, 0.20786059997044504]",438452,001,2024-11-17_13h41.02.717,WholeReportMethod,2024.1.5,None,2024-11-17 13h41.09.510689 +0530,
4,0,4,0,35.44436320010573,,,,,,,,,35.42935150000267,35.44436320010573,35.92740399995819,35.92743130004965,35.9445899000857,40.91638830001466,"['o', 'd', 'q']","[1.4453477000351995, 2.1999456000048667, 2.8751548000145704]","[0.18054500012658536, 0.2508245001081377, 0.21177280019037426]",438452,001,2024-11-17_13h41.02.717,WholeReportMethod,2024.1.5,None,2024-11-17 13h41.09.510689 +0530,
5,0,5,0,40.933528000023216,,,,,,,,,40.91800710000098,40.933528000023216,41.41664860001765,41.41666999994777,41.43375730002299,46.42235070001334,"['i', 'w', 'c', 'o']","[1.562681799987331, 1.8228803998790681, 2.5318820998072624, 2.987840399844572]","[0.18862309982068837, 0.1893752000760287, 0.20891370018944144, 0.18428490008227527]",438452,001,2024-11-17_13h41.02.717,WholeReportMethod,2024.1.5,None,2024-11-17 13h41.09.510689 +0530,
6,0,6,0,46.43949280004017,,,,,,,,,46.42515969998203,46.43949280004017,46.92341880011372,46.923442400060594,46.93983640009537,51.91264240001328,"['f', 'e', 'k', 'g']","[1.5366649001371115, 2.1375890001654625, 2.3986278001684695, 3.673986200010404]","[0.21647690003737807, 0.17986059980466962, 0.2162683999631554, 0.18694450007751584]",438452,001,2024-11-17_13h41.02.717,WholeReportMethod,2024.1.5,None,2024-11-17 13h41.09.510689 +0530,
7,0,7,0,51.92945870012045,,,,,,,,,51.91467329999432,51.92945870012045,52.41292780009098,52.41296740015969,52.42853510007262,57.41837300010957,"['o', 'u', 'z']","[1.0485902999062091, 1.343368100002408, 2.301033199997619]","[0.25711980019696057, 0.18296299991197884, 0.22626950009725988]",438452,001,2024-11-17_13h41.02.717,WholeReportMethod,2024.1.5,None,2024-11-17 13h41.09.510689 +0530,
8,0,8,0,57.43458560016006,,,,,,,,,57.419736000010744,57.43458560016006,57.91871610004455,57.91874450002797,57.93525550002232,62.92413690011017,"['a', 'l', 'm', 'o', 'c']","[1.0274534998461604, 1.2938279998488724, 1.4443227997981012, 1.8697692998684943, 2.171075199963525]","[0.17796480003744364, 0.1598181000445038, 0.21432460006326437, 0.21555660013109446, 0.25034349993802607]",438452,001,2024-11-17_13h41.02.717,WholeReportMethod,2024.1.5,None,2024-11-17 13h41.09.510689 +0530,
