trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,introduction.started,text.started,key_resp.started,introduction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,letter_grid.started,trial.stopped,response_routine.started,response.started,response_routine.stopped,response.keys,response.rt,response.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.004005399998277426,0.020156500162556767,0.020156500162556767,7.014701700070873,space,6.874470399925485,None,,,,,,,,,,727798,001,2024-11-17_10h23.23.025,WholeReportMethod,2024.1.5,None,2024-11-17 10h23.37.735134 +0530,
0,0,0,0,7.0347699001431465,,,,,,,,,7.0176215001847595,7.0347699001431465,7.527111700037494,7.527137299999595,7.54414080013521,12.517669500084594,"['h', 'd']","[1.7430355998221785, 1.9334627999924123]","[0.11563190002925694, 0.09239489980973303]",727798,001,2024-11-17_10h23.23.025,WholeReportMethod,2024.1.5,None,2024-11-17 10h23.37.735134 +0530,
1,0,1,0,12.541628800099716,,,,,,,,,12.522778900107369,12.541628800099716,13.014976600185037,13.015004300046712,13.031395000172779,18.024114800151438,"['z', 'z', 'i', 'z']","[1.446551099885255, 1.7926775999367237, 2.2750607000198215, 2.638552000047639]","[0.11170060001313686, 0.09251270000822842, 0.09932429995387793, 0.11227169982157648]",727798,001,2024-11-17_10h23.23.025,WholeReportMethod,2024.1.5,None,2024-11-17 10h23.37.735134 +0530,
2,0,2,0,18.042949700029567,,,,,,,,,18.025535200024024,18.042949700029567,18.52113170013763,18.52115420019254,18.538001200184226,23.53026260016486,"['i', 'g']","[1.6555017000064254, 2.3641231001820415]","[0.08820930006913841, 0.08749949978664517]",727798,001,2024-11-17_10h23.23.025,WholeReportMethod,2024.1.5,None,2024-11-17 10h23.37.735134 +0530,
3,0,3,0,23.544004200026393,,,,,,,,,23.531582500087097,23.544004200026393,24.026465100003406,24.026484300149605,24.043328400002792,29.015791800105944,"['s', 'g']","[1.4751677999738604, 2.163440099917352]","[0.11846240004524589, 0.08493930008262396]",727798,001,2024-11-17_10h23.23.025,WholeReportMethod,2024.1.5,None,2024-11-17 10h23.37.735134 +0530,
4,0,4,0,29.032685999991372,,,,,,,,,29.016680900007486,29.032685999991372,29.518850299995393,29.51887350017205,29.53476330009289,34.5234819999896,"['o', 'y', 'a', 'i']","[1.2732040998525918, 1.7261920999735594, 2.134746100055054, 2.631737400079146]","[0.098794000223279, 0.08866190002299845, 0.10544359986670315, 0.1055753999389708]",727798,001,2024-11-17_10h23.23.025,WholeReportMethod,2024.1.5,None,2024-11-17 10h23.37.735134 +0530,
5,0,5,0,34.542900800006464,,,,,,,,,34.525876900181174,34.542900800006464,35.0260473000817,35.02606920013204,35.039215800119564,40.02720190002583,"['l', 'm', 'e', 'm']","[1.742694899905473, 2.1618935000151396, 3.1992007000371814, 3.66009490005672]","[0.08324120007455349, 0.08471309999004006, 0.10488599981181324, 0.08599759987555444]",727798,001,2024-11-17_10h23.23.025,WholeReportMethod,2024.1.5,None,2024-11-17 10h23.37.735134 +0530,
6,0,6,0,40.046853200066835,,,,,,,,,40.02805870003067,40.046853200066835,40.52966030011885,40.52969200001098,40.54740190017037,45.519039400154725,"['l', 'b', 'i', 'o']","[1.926971800159663, 2.305840800050646, 2.661261700093746, 2.8999495001044124]","[0.11415819986723363, 0.09585359995253384, 0.10461189993657172, 0.09485220001079142]",727798,001,2024-11-17_10h23.23.025,WholeReportMethod,2024.1.5,None,2024-11-17 10h23.37.735134 +0530,
7,0,7,0,45.535022400086746,,,,,,,,,45.52100619999692,45.535022400086746,46.01983380015008,46.019859899999574,46.03615469997749,51.02754190005362,"['i', 'm']","[1.0815352001227438, 1.5806470001116395]","[0.10877340007573366, 0.09105920000001788]",727798,001,2024-11-17_10h23.23.025,WholeReportMethod,2024.1.5,None,2024-11-17 10h23.37.735134 +0530,
8,0,8,0,51.04029260016978,,,,,,,,,51.02888290002011,51.04029260016978,51.52653739997186,51.526597999967635,51.542331099975854,56.530727199977264,"['p', 'd', 'y']","[1.3795427000150084, 1.7381651001051068, 2.1460464999545366]","[0.09866610006429255, 0.0886199998203665, 0.08209959999658167]",727798,001,2024-11-17_10h23.23.025,WholeReportMethod,2024.1.5,None,2024-11-17 10h23.37.735134 +0530,
9,0,9,0,56.54917680006474,,,,,,,,,56.532215300016105,56.54917680006474,57.01568299997598,57.015705100027844,57.03159530018456,62.02051080018282,"['d', 'i', 'b', 'p']","[1.3356596999801695, 1.7904271001461893, 2.239546800032258, 2.7786420001648366]","[0.10440170019865036, 0.0910992999561131, 0.07641720003448427, 0.09212369984015822]",727798,001,2024-11-17_10h23.23.025,WholeReportMethod,2024.1.5,None,2024-11-17 10h23.37.735134 +0530,
10,0,10,0,62.03710169997066,,,,,,,,,62.02174890018068,62.03710169997066,62.52163700014353,62.521656500175595,62.53795220004395,67.5289445000235,"['y', 'z', 'i', 'l']","[2.254161400021985, 2.6306086000986397, 2.970406400039792, 3.2580514000728726]","[0.09095870004966855, 0.08047730010002851, 0.08842299995012581, 0.08377779996953905]",727798,001,2024-11-17_10h23.23.025,WholeReportMethod,2024.1.5,None,2024-11-17 10h23.37.735134 +0530,
11,0,11,0,67.54441129998304,,,,,,,,,67.52984530013055,67.54441129998304,68.02572420006618,68.02574870013632,68.0425031001214,73.01546879997477,"['r', 'f', 'm']","[1.8006396999116987, 2.2186226998455822, 3.09219289990142]","[0.08551550004631281, 0.0959173000883311, 0.08239460014738142]",727798,001,2024-11-17_10h23.23.025,WholeReportMethod,2024.1.5,None,2024-11-17 10h23.37.735134 +0530,
12,0,12,0,73.03372000018135,,,,,,,,,73.01701630000025,73.03372000018135,73.51609549997374,73.5161347000394,73.53259159997106,78.52203180012293,"['l', 't']","[1.5462577999569476, 2.204921599943191]","[0.10258970013819635, 0.092352099949494]",727798,001,2024-11-17_10h23.23.025,WholeReportMethod,2024.1.5,None,2024-11-17 10h23.37.735134 +0530,
13,0,13,0,78.53829060005955,,,,,,,,,78.52349180006422,78.53829060005955,79.024892100133,79.02492340002209,79.03715500002727,84.02971490006894,"['k', 'w', 'z']","[1.5749425999820232, 1.8570892999414355, 2.2360042000655085]","[0.09431540011428297, 0.10494210012257099, 0.10484719998203218]",727798,001,2024-11-17_10h23.23.025,WholeReportMethod,2024.1.5,None,2024-11-17 10h23.37.735134 +0530,
14,0,14,0,84.04441260010935,,,,,,,,,84.03192850016057,84.04441260010935,84.52841140003875,84.52844840008765,84.5444668000564,89.52022309997119,"['x', 'v']","[1.481912099989131, 1.8218352000694722]","[0.1054127998650074, 0.08790889987722039]",727798,001,2024-11-17_10h23.23.025,WholeReportMethod,2024.1.5,None,2024-11-17 10h23.37.735134 +0530,
15,0,15,0,89.53524580015801,,,,,,,,,89.5220580000896,89.53524580015801,90.01694450015202,90.01697320002131,90.03604130004533,95.02436560019851,"['u', 'p']","[1.1880012000910938, 1.6746563999913633]","[0.08670009998604655, 0.06886620004661381]",727798,001,2024-11-17_10h23.23.025,WholeReportMethod,2024.1.5,None,2024-11-17 10h23.37.735134 +0530,
